OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
714	1	714_L11.avi	17267	714_R12.avi	16657	9.60238	P1	5.99322	331.43130	-451.37901	-1410.94639	0.81875	0.98899	2.59258	2.48666	1518.01167	22.02831	Pinguipedidae	Parapercis	haackei	37390004	1	AD	Passing			
714	3	714_L11.avi	33780	714_R12.avi	33170	18.78545	P1	15.17629	-2001.96280	-386.60602	-5681.91876	13.46876	3.32656	39.24273	3.36556	6036.68121	19.83478	Labridae	Eupetrichthys	angustipes	37384105	1	AD	Passing			
714	11	714_L11.avi	58705	714_R12.avi	58095	32.64654	P1	29.03737	-216.19516	-246.75750	-1069.90936	0.54556	0.56539	1.50907	0.83025	1119.07803	17.40360	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
714	30	714_L11.avi	103727	714_R12.avi	103117	57.68379	P1	54.07463	-206.46834	-430.84708	-2147.32730	1.06312	1.44013	5.90883	1.56716	2199.83475	12.96914	Rhinobatidae	Trygonorrhina	dumerilii	37027011	1	AD	Passing			
272	0	272_L25.avi	9437	272_R26.avi	8457	5.24803		-1.00000	128.47189	-683.01533	-4809.64348	2.16522	4.08850	28.51470	0.60673	4859.59724	9.19035	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
272	1	272_L25.avi	11467	272_R26.avi	10487	6.37693	P1	1.12557	1175.47510	322.48269	-3724.58566	5.19301	2.33313	16.56542	10.86194	3918.96353	17.88539	Gerreidae	Parequula	melbournensis	37349001	9	AD	Passing			
272	13	272_L25.avi	43817	272_R26.avi	42837	24.36714	P1	19.11578	-1041.57245	-620.49316	-3513.21777	4.55027	2.84367	15.32436	0.92779	3716.52849	19.55997	Labridae	Eupetrichthys	angustipes	37384105	1	AD	Passing			
272	18	272_L25.avi	46643	272_R26.avi	45663	25.93872	P1	20.68735	294.36382	-49.21133	-1459.59039	0.80452	0.63273	2.68305	1.40432	1489.79056	11.75786	Carangidae	Pseudocaranx	spp		2	AD	Passing			
272	33	272_L25.avi	52099	272_R26.avi	51119	28.97286	P1	23.72150	120.61628	31.66787	-1058.29192	0.49819	0.46834	1.44525	0.58697	1065.61388	6.53999	Labridae	Coris	auricularis	37384088	2	F	Passing			
272	37	272_L25.avi	56577	272_R26.avi	55597	31.46313	P1	26.21177	153.89259	-530.56134	-1852.06309	0.86814	1.38245	4.33155	1.32452	1932.69655	17.55502	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
13RC3	10	13RC3_L23.avi	13054	13RC3_R24.avi	13272	7.25948	P1	1.54599	128.93876	387.85034	-1465.49498	0.68013	0.98061	2.71344	7.23324	1521.42322	14.62477	Pomacentridae	Chromis	klunzingeri	37372044	2	AD	Passing			
13RC3	14	13RC3_L23.avi	15358	13RC3_R24.avi	15576	8.54076	P1	2.82727	28.32200	-57.99868	-1177.92382	0.53114	0.52026	1.80211	2.13825	1179.69085	4.07193	Labridae	Coris	auricularis	37384088	2	F	Passing			
13RC3	34	13RC3_L23.avi	18895	13RC3_R24.avi	19113	10.50773	P1	4.79424	-0.82733	8.17013	-1690.60397	0.74601	0.74116	3.64047	6.73232	1690.62392	0.73767	Pempherididae	Pempheris	klunzingeri	37357003	7	AD	Passing			
13RC3	38	13RC3_L23.avi	21712	13RC3_R24.avi	21930	12.07430	P1	6.36081	-30.85023	-173.97429	-1312.53059	0.58839	0.62531	2.22863	2.26116	1324.36979	8.66712	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
13RC3	54	13RC3_L23.avi	38702	13RC3_R24.avi	38920	21.52263	P1	15.80914	-6.21997	-139.31154	-742.46382	0.34183	0.35125	0.73510	3.29417	755.44617	11.65052	Labridae	Ophthalmolepis	lineolatus	37384040	1	AD	Passing			
199	43	199_R18.avi	36484	199_L17.avi	37536	20.28918	P1	18.96897	440.69431	888.85160	-5532.60468	3.78264	6.79253	38.29039	22.55282	5620.85253	9.81839	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	44	199_R18.avi	36484	199_L17.avi	37536	20.28918	P1	18.96897	289.48323	657.61778	-5046.88861	2.78527	4.84903	31.92553	14.49464	5097.77857	7.74734	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	45	199_R18.avi	36484	199_L17.avi	37536	20.28918	P1	18.96897	424.77529	623.30364	-4469.11768	2.98737	4.10941	25.09561	10.46374	4532.32328	9.26028	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	46	199_R18.avi	36484	199_L17.avi	37536	20.28918	P1	18.96897	500.68943	725.38918	-4992.51099	3.70504	5.17667	31.25324	17.65559	5069.71847	9.69379	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	47	199_R18.avi	36484	199_L17.avi	37536	20.28918	P1	18.96897	568.32458	750.84841	-4973.05752	4.03133	5.29948	31.00952	22.33760	5061.42937	10.41414	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	48	199_R18.avi	36484	199_L17.avi	37536	20.28918	P1	18.96897	703.46203	743.42400	-4859.44544	4.63439	5.13342	29.61821	9.10180	4966.05961	11.61360	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	49	199_R18.avi	36484	199_L17.avi	37536	20.28918	P1	18.96897	301.43854	450.80932	-4857.25050	2.72822	3.58836	29.62195	15.97866	4887.43047	6.05035	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	50	199_R18.avi	36484	199_L17.avi	37536	20.28918	P1	18.96897	608.81808	748.41447	-4984.69760	4.25135	5.29864	31.15525	15.77313	5077.20335	10.65431	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	51	199_R18.avi	36526	199_L17.avi	37578	20.31253	P1	18.99233	247.10522	745.15898	-2597.76205	1.35161	2.70921	8.53953	0.70188	2713.79634	16.44556	Pomacentridae	Chromis	klunzingeri	37372044	25	AD	Passing			
199	52	199_R18.avi	36560	199_L17.avi	37612	20.33144	P1	19.01123	873.92253	1057.14019	-5024.11060	5.72805	7.13385	31.56287	11.02703	5207.97209	14.97135	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	53	199_R18.avi	36560	199_L17.avi	37612	20.33144	P1	19.01123	638.66092	894.05831	-4931.53286	4.35728	6.06395	30.46742	12.47789	5052.44935	12.24508	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	54	199_R18.avi	36560	199_L17.avi	37612	20.33144	P1	19.01123	1044.40343	1231.42193	-6194.60876	8.28723	10.13130	47.85438	18.71394	6401.59013	14.31436	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	55	199_R18.avi	36560	199_L17.avi	37612	20.33144	P1	19.01123	474.48538	982.57052	-5354.58834	3.83287	7.15175	35.86036	21.45187	5464.63150	11.16798	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	56	199_R18.avi	36560	199_L17.avi	37612	20.33144	P1	19.01123	1732.26359	1191.93273	-5209.43540	11.02910	8.15759	33.60398	10.06396	5617.79832	21.76208	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	57	199_R18.avi	36560	199_L17.avi	37612	20.33144	P1	19.01123	1735.13127	1320.00486	-6171.68119	13.18673	10.68979	47.25682	16.96601	6545.43673	19.22221	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	58	199_R18.avi	36560	199_L17.avi	37612	20.33144	P1	19.01123	1392.56780	1413.07510	-6017.95560	10.45093	11.11030	45.02472	13.45193	6336.54606	17.97017	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	59	199_R18.avi	36560	199_L17.avi	37612	20.33144	P1	19.01123	1143.55318	1323.66688	-5481.73647	7.92652	9.52089	37.43368	5.31760	5754.06314	17.40473	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	60	199_R18.avi	36560	199_L17.avi	37612	20.33144	P1	19.01123	-8.79724	1835.25799	-5978.58850	2.51465	14.05583	44.30419	19.25381	6253.94033	16.67530	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	61	199_R18.avi	36560	199_L17.avi	37612	20.33144	P1	19.01123	-90.25706	1726.81168	-5778.15465	2.50820	12.81744	41.40023	13.92725	6031.34280	16.27097	Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
199	62	199_R18.avi	36560	199_L17.avi	37612	20.33144	P1	19.01123										Pomacentridae	Chromis	klunzingeri	37372044	1	AD	Passing			
