OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
714	0	P1	714_L11.avi	6490	3.60916	714_L11.avi	112789	62.72328	1
272	0	P1	272_L25.avi	9443	5.25136	272_L25.avi	107650	59.86542	1
13RC3	0	P1	13RC3_L23.avi	10274	5.71349	13RC3_L23.avi	118332	65.80581	1
199	0	P1	199_R18.avi	2374	1.32021	199_R18.avi	110304	61.34134	1
10005	0	Time Seabed	100005_L21.avi	2583	1.43644	100005_L21.avi	110475	61.43644	1
295	0	P1	295_L11.avi	11162	6.20732	295_L11.avi	119192	66.28406	1
RC3	0	P1	RC3_L19.avi	4292	2.38683	RC3_L19.avi	112241	62.41853	1
176	0	P1	176_L11.avi	5275	2.93349	176_L11.avi	114286	63.55578	1
12RC9	0	P1	12RC9_L15.avi	2055	1.14281	12RC9_L15.avi	109993	61.16839	1
215	0	P1	215_R10.avi	9738	5.41542	215_R10.avi	118404	65.84585	1
13RC12	0	Time Seabed	13RC12_L5.avi	2910	1.61828	13RC12_L5.avi	110802	61.61828	1
314	0	P1	314_L5.avi	5400	3.00300	314_L5.avi	113513	63.12590	1
183	0	P1	183_L9.avi	3113	1.73118	183_L9.avi	111628	62.07763	1
496	0	P1	496_L5.avi	1699	0.94483				0
24	0	P1	24_L9.avi	5943	3.30497				0
GBR2-2	0	Time Seabed	GBR2-2_L23.avi	2953	1.64220	GBR2-2_L23.avi	110845	61.64220	1
720	0	Time Seabed	720_L19.avi	6837	3.80214	720_L19.avi	114729	63.80214	1
543	0	P1	543_L23.avi	2797	1.55544	543_L23.avi	110755	61.59215	1
21	0	P1	21_L23.avi	12372	6.88021	21_L23.avi	120353	66.92971	1
91	0	Time Seabed	91_L11.avi	4348	2.41797	91_L11.avi	112240	62.41797	1
151	0	P1	151_L19.avi	14959	8.31887	151_L19.avi	122869	68.32888	1
579	0	Time Seabed	579_L17.avi	9114	5.06840	579_L17.avi	117006	65.06840	1
631	0	P1	631_L19.avi	3835	2.13269	631_L19.avi	112767	62.71104	1
119	0	P1	119_L17.avi	8435	4.69080	119_L17.avi	116327	64.69080	1
839	0	Time Seabed	839_L23.avi	8065	4.48504	839_L23.avi	115957	64.48504	1
633	0	P1	633_L15.avi	9493	5.27917	633_L15.avi	118596	65.95262	1
39	0	P1	39_L15.avi	8035	4.46836	39_L15.avi	115950	64.48115	1
880	0	Time Seabed	880_L17.avi	6888	3.83050	880_L17.avi	114780	63.83050	1
20	0	Time Seabed	20_L5.avi	4775	2.65543	20_L5.avi	112667	62.65543	1
104	0	P1	104_R10.avi	10427	5.79858	104_R10.avi	118971	66.16116	1
143	0	P1	143_L14.avi	2616	1.45479	143_L14.avi	111415	61.95918	1
592	0	Time Seabed	592_L17.avi	3764	2.09320	592_L17.avi	111656	62.09320	1
22	0	P1	22_L17.avi	6011	3.34279	22_L17.avi	113961	63.37504	1
41	0	Time seabed	41_L17.avi	5584	3.10533	41_L17.avi	113476	63.10533	1
346	0	P1	346_L11.avi	1387	0.77133				0
GBR3-4	0	P1	GBR3-4_L13.avi	2199	1.22289	GBR3-4_L13.avi	110184	61.27461	1
GBR5-2	0	Time seabed	GBR5-2_L23.avi	1991	1.10722	GBR5-2_L23.avi	109883	61.10722	1
46	0	P1	46_L19.avi	4097	2.27839	46_L19.avi	112059	62.31732	1
858	0	P1	858_L5.avi	6916	3.84607	858_L5.avi	114808	63.84607	1
122	0	P1	122_L13.avi	2391	1.32966				0
106	0	Time Seabed	106_L25.avi	2553	1.41975	106_L25.avi	110445	61.41975	1
282	0	Time Seabed	282_L15.avi	6730	3.74263	282_L15.avi	114622	63.74263	1
115	0	Time Seabed	115_L9.avi	2914	1.62051	115_L9.avi	110806	61.62051	1
791	0	P1	791_L17.avi	4043	2.24836	791_L17.avi	112110	62.34568	1
279	0	P1	279_R26.avi	2213	1.23068	279_R26.avi	112555	62.59315	1
267	0	P1	267_L5.avi	4274	2.37682	267_L5.avi	112205	62.39851	1
618	0	P1	618_L25.avi	4748	2.64042	618_L25.avi	112737	62.69436	1
375	0	P1	375_L17.avi	2973	1.65332	375_L17.avi	110948	61.69948	1
2	0	P1	2_L15.avi	7985	4.44055	2_L15.avi	115878	64.44111	1
103	0	P1	103_L13.avi	6936	3.85719	103_L13.avi	115417	64.18474	1
6	0	P1	6_L25.avi	6462	3.59359	6_L25.avi	114377	63.60638	1
316	0	P1	316_L15.avi	2847	1.58325	316_L15.avi	110803	61.61884	1
RB2	0	P1	RB2_L13.avi	5589	3.10811	RB2_L13.avi	113536	63.13869	1
735	0	P1	735_L21.avi	6461	3.59304	735_L21.avi	115001	63.95340	1
570	0	P1	570_L23.avi	7040	3.91503	570_L23.avi	114227	63.52297	1
69	0	P1	69_L9.avi	6298	3.50239	69_L9.avi	114280	63.55244	1
GBR1-4	0	P1	GBR1-4_L15.avi	2033	1.13058	GBR1-4_L15.avi	110049	61.19953	1
GBR3-2	0	P1	GBR3-2_L15.avi	4209	2.34067	GBR3-2_L15.avi	112680	62.66266	1
GBR4-1	0	P1	GBR4-1_L9.avi	2103	1.16950	GBR4-1_L9.avi	109995	61.16950	1
704	0	P1	704_L5.avi	4449	2.47414	704_L5.avi	112524	62.57591	1
352	0	P1	352_L23.avi	7407	4.11912	352_L23.avi	115441	64.19809	1
602	0	P1	602_L25.avi	2391	1.32966	602_L25.avi	112013	62.29174	1
250	0	Time Seabed	250_R6.avi	3154	1.75398	250_R6.avi	111046	61.75398	1
828	0	P1	828_L11.avi	8539	4.74864	828_L11.avi	116516	64.79591	1
527	0	Time Seabed	527_L9.avi	7455	4.14581	527_L9.avi	115347	64.14581	1
492	0	Time Seabed	492_L11.avi	8358	4.64798	492_L11.avi	116250	64.64798	1
832	0	P1	832_L9.avi	6302	3.50462	832_L9.avi	114214	63.51574	1
GBR2-1	0	Time Seabed	GBR2-1_L11.avi	3140	1.74619	GBR2-1_L11.avi	111032	61.74619	1
647	0	P1	647_L5.avi	4614	2.56590	647_L5.avi	112519	62.57313	1
236	0	P1	236_L21.avi	4453	2.47637	236_L21.avi	112663	62.65321	1
12	0	P1	12_L17.avi	6822	3.79379	12_L17.avi	114796	63.83939	1
26	0	Time Seabed	26_L9.avi	3082	1.71394	26_L9.avi	110974	61.71394	1
688	0	Time Seabed	688_L23.avi	6840	3.80380	688_L23.avi	114732	63.80380	1
50	0	P1	50_L17.avi	5843	3.24936	50_L17.avi	113736	63.24992	1
656	0	P1	656_L15.avi	4224	2.34902	656_L15.avi	112218	62.40574	1
826	0	P1	826_L15.avi	3284	1.82627	826_L15.avi	111205	61.84240	1
17	0	Time Seabed	17_L21.avi	7092	3.94394	17_L21.avi	114984	63.94394	1
1	0	P1	1_L13.avi	3582	1.99199	1_L13.avi	111780	62.16216	1
611	0	Time Seabed	611_L23.avi	6709	3.73095	611_L23.avi	114601	63.73095	1
528	0	P1	528_L25.avi	3054	1.69837	528_L25.avi	111084	61.77511	1
650	0	p1	650_L13.avi	5117	2.84562				0
694	0	P1	694_L15.avi	3362	1.86965	694_L15.avi	111327	61.91024	1
503	0	P1	503_L5.avi	5245	2.91681	503_L5.avi	105586	58.71761	1
54	0	P1	54_L25.avi	3299	1.83461	54_L25.avi	111198	61.83851	1
