OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
714	1.07	2017 05 10 15:14:20	F:\GB CONVERT\EM Done\	714.EMObs
272	1.07	2017 05 10 15:14:20	G:\EM DONE\	272.EMObs
13RC3	1.07	2017 05 10 15:14:20	E:\EM Done\	13RC3.EMObs
199	1.07	2017 05 10 15:14:20	E:\GB CONVERT\	199.EMObs
10005	1.07	2017 05 10 15:14:20	G:\EM DONE\	10005.EMObs
295	1.07	2017 05 10 15:14:20	G:\EM DONE\	295.EMObs
RC3	1.07	2017 05 10 15:14:20	G:\EM Done\	RC3.EMObs
176	1.07	2017 05 10 15:14:20	E:\EM Done\	176.EMObs
12RC9	1.07	2017 05 10 15:14:20	E:\EM Done\	12RC9.EMObs
215	1.07	2017 05 10 15:14:20	E:\	215.EMObs
13RC12	1.07	2017 05 10 15:14:20	E:\EM Done\	13RC12.EMObs
314	1.07	2017 05 10 15:14:20	E:\EM Done\	314.EMObs
183	1.07	2017 05 10 15:14:20	E:\EM Done\	183.EMObs
496	1.07	2017 05 10 15:14:20	F:\GB CONVERT\EM Done\	496.EMObs
24	1.07	2017 05 10 15:14:20	G:\EM Done\	24.EMObs_AUTO.EMObs
GBR2-2	1.07	2017 05 10 15:14:20	E:\EM Done\	GBR2-2.EMObs
720	1.07	2017 05 10 15:14:20	E:\EM Done\	720.EMObs
543	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	543.EMObs
21	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	21.EMObs
91	1.07	2017 05 10 15:14:20	E:\EM Done\	91.EMObs
151	1.07	2017 05 10 15:14:20	G:\EM DONE\	151.EMObs
579	1.07	2017 05 10 15:14:20	G:\EM DONE\	579.EMObs
631	1.07	2017 05 10 15:14:20	F:\GB CONVERT\EM Done\	631.EMObs
119	1.07	2017 05 10 15:14:20	E:\EM Done\	119.EMObs
839	1.07	2017 05 10 15:14:20	G:\EM DONE\	839.EMObs
633	1.07	2017 05 10 15:14:20	G:\EM DONE\	633.EMObs
39	1.07	2017 05 10 15:14:20	E:\EM Done\	39.EMObs
880	1.07	2017 05 10 15:14:20	G:\EM DONE\	880.EMObs
20	1.07	2017 05 10 15:14:20	E:\EM Done\	20.EMObs
104	1.07	2017 05 10 15:14:20	E:\EM Done\	104.EMObs
143	1.07	2017 05 10 15:14:20	E:\EM Done\	143.EMObs
592	1.07	2017 05 10 15:14:20	G:\EM DONE\	592.EMObs
22	1.07	2017 05 10 15:14:20	E:\EM Done\	22.EMObs
41	1.07	2017 05 10 15:14:20	E:\EM Done\	41.EMObs
346	1.07	2017 05 10 15:14:20	E:\EM Done\	346.EMObs
GBR3-4	1.07	2017 05 10 15:14:20	H:\EM Done\	GBR3-4.EMObs
GBR5-2	1.07	2017 05 10 15:14:20	H:\EM Done\	GBR5-2.EMObs
46	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	46.EMObs
858	1.07	2017 05 10 15:14:20	G:\EM DONE\	858.EMObs
122	1.07	2017 05 10 15:14:20	E:\EM Done\	122.EMObs
106	1.07	2017 05 10 15:14:20	E:\EM Done\	106.EMObs
282	1.07	2017 05 10 15:14:20	G:\EM DONE\	282.EMObs
115	1.07	2017 05 10 15:14:20	\\c-fish-006\E\EM Done\	115.EMObs
791	1.07	2017 05 10 15:14:20	E:\EM Done\	791.EMObs
279	1.07	2017 05 10 15:14:20	F:\	279.EMObs
267	1.07	2017 05 10 15:14:20	E:\EM Done\	267.EMObs
618	1.07	2017 05 10 15:14:20	Z:\	618.EMObs
375	1.07	2017 05 10 15:14:20	E:\EM Done\	375.EMObs
2	1.07	2017 05 10 15:14:20	E:\EM Done\	2.EMObs
103	1.07	2017 05 10 15:14:20	E:\EM Done\	103.EMObs
6	1.07	2017 05 10 15:14:20	E:\EM Done\	6.EMObs
316	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	316.EMObs
RB2	1.07	2017 05 10 15:14:20	E:\EM Done\	RB2.EMObs
735	1.07	2017 05 10 15:14:20	G:\EM DONE\	735.EMObs
570	1.07	2017 05 10 15:14:20	F:\GB CONVERT\EM Done\	570.EMObs
69	1.07	2017 05 10 15:14:20	Y:\EM Done\	69.EMObs
GBR1-4	1.07	2017 05 10 15:14:20	E:\EM Done\	GBR1-4.EMObs
GBR3-2	1.07	2017 05 10 15:14:20	N:\	GBR3-2.EMObs
GBR4-1	1.07	2017 05 10 15:14:20	E:\EM Done\	GBR4-1.EMObs
704	1.07	2017 05 10 15:14:20	E:\EM Done\	704.EMObs
352	1.07	2017 05 10 15:14:20	G:\EM DONE\	352.EMObs
602	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	602.EMObs
250	1.07	2017 05 10 15:14:20	E:\	250.EMObs
828	1.07	2017 05 10 15:14:20	E:\EM Done\	828.EMObs
527	1.07	2017 05 10 15:14:20	E:\EM Done\	527.EMObs
492	1.07	2017 05 10 15:14:20	G:\EM DONE\	492.EMObs
832	1.07	2017 05 10 15:14:20	E:\EM Done\	832.EMObs
GBR2-1	1.07	2017 05 10 15:14:20	H:\EM Done\	GBR2-1.EMObs
647	1.07	2017 05 10 15:14:20	E:\EM Done\	647.EMObs
236	1.07	2017 05 10 15:14:20	F:\EM DONE\	236.EMObs
12	1.07	2017 05 10 15:14:20	E:\EM Done\	12.EMObs
26	1.07	2017 05 10 15:14:20	\\C-fish-006\e\EM Done\	26.EMObs
688	1.07	2017 05 10 15:14:20	E:\EM Done\	688.EMObs
50	1.07	2017 05 10 15:14:20	\\c-fish-001\G\	50.EMObs
656	1.07	2017 05 10 15:14:20	V:\	656.EMObs
826	1.07	2017 05 10 15:14:20	E:\EM Done\	826.EMObs
17	1.07	2017 05 10 15:14:20	F:\EM Done\Lengths Done\	17.EMObs
1	1.07	2017 05 10 15:14:20	E:\EM Done\	1.EMObs
611	1.07	2017 05 10 15:14:20	G:\EM DONE\	611.EMObs
528	1.07	2017 05 10 15:14:20	E:\EM Done\	528.EMObs
650	1.07	2017 05 10 15:14:20	F:\	650.EMObs
694	1.07	2017 05 10 15:14:20	E:\EM Done\	694.EMObs
503	1.07	2017 05 10 15:14:20	G:\EM DONE\	503.EMObs
54	1.07	2017 05 10 15:14:20	E:\EM Done\	54.EMObs
842	1.07	2017 05 10 15:14:20	G:\EM DONE\	842.EMObs
13RC13	1.07	2017 05 10 15:14:20	G:\EM DONE\	13RC13.EMObs
554	1.07	2017 05 10 15:14:20	G:\EM DONE\	554.EMObs
90	1.07	2017 05 10 15:14:20	G:\EM Done\	90.EMObs
88	1.07	2017 05 10 15:14:20	E:\EM Done\	88.EMObs
11R4	1.07	2017 05 10 15:14:20	E:\EM Done\	11R4.EMObs
816	1.07	2017 05 10 15:14:20	G:\EM DONE\	816.EMObs
13RC2	1.07	2017 05 10 15:14:20	\\C-fish-006\e\EM Done\	13RC2.EMObs
63	1.07	2017 05 10 15:14:20	X:\EM Done\	63.EMObs
55	1.07	2017 05 10 15:14:20	E:\EM Done\	55.EMObs
36	1.07	2017 05 10 15:14:20	H:\EM Done\	36.EMObs
7	1.07	2017 05 10 15:14:20	G:\EM DONE\	7.EMObs
666	1.07	2017 05 10 15:14:20	G:\EM DONE\	666.EMObs
560	1.07	2017 05 10 15:14:20	F:\EM Done\Lengths Done\	560.EMObs
47	1.07	2017 05 10 15:14:20	E:\EM Done\	47.EMObs
13	1.07	2017 05 10 15:14:20	E:\EM Done\	13.EMObs
567	1.07	2017 05 10 15:14:20	G:\EM DONE\	567.EMObs
698	1.07	2017 05 10 15:14:20	X:\EM Done\	698.EMObs
448	1.07	2017 05 10 15:14:20	G:\EM DONE\	448.EMObs
12RC7	1.07	2017 05 10 15:14:20	E:\EM Done\	12RC7.EMObs
65	1.07	2017 05 10 15:14:20	E:\EM Done\	65.EMObs
14	1.07	2017 05 10 15:14:20	E:\EM Done\	14.EMObs
83	1.07	2017 05 10 15:14:20	G:\EM DONE\	83.EMObs
48	1.07	2017 05 10 15:14:20	E:\EM Done\	48.EMObs
331	1.07	2017 05 10 15:14:20	E:\EM Done\	331.EMObs
GBR5-3	1.07	2017 05 10 15:14:20	E:\EM Done\	GBR5-3.EMObs
848	1.07	2017 05 10 15:14:20	E:\EM Done\	848.EMObs
27	1.07	2017 05 10 15:14:20	E:\EM Done\	27.EMObs
256	1.07	2017 05 10 15:14:20	G:\EM DONE\	256.EMObs
56	1.07	2017 05 10 15:14:20	G:\EM Done\	56.EMObs
327	1.07	2017 05 10 15:14:20	E:\EM Done\	327.EMObs
672	1.07	2017 05 10 15:14:20	V:\	672.EMObs
384	1.07	2017 05 10 15:14:20	E:\EM Done\	384.EMObs
13RC9	1.07	2017 05 10 15:14:20	E:\EM Done\	13RC9.EMObs
362	1.07	2017 05 10 15:14:20	G:\EM DONE\	362.EMObs
92	1.07	2017 05 10 15:14:20	X:\EM Done\	92.EMObs
113	1.07	2017 05 10 15:14:20	O:\GB CONVERT\	113.EMObs
68	1.07	2017 05 10 15:14:20	F:\	68.EMObs
10004	1.07	2017 05 10 15:14:20	F:\GB CONVERT\EM Done\	10004.EMObs
GBR1-1	1.07	2017 05 10 15:14:20	E:\EM Done\	GBR1-1.EMObs
135	1.07	2017 05 10 15:14:20	E:\EM Done\	135.EMObs
202	1.07	2017 05 10 15:14:20	E:\EM Done\	202.EMObs
78	1.07	2017 05 10 15:14:20	E:\EM Done\	78.EMObs
586	1.07	2017 05 10 15:14:20	E:\	586.EMObs
711	1.07	2017 05 10 15:14:20	\\c-fish-006\E\EM Done\Lengths Done\	711.EMObs
399	1.07	2017 05 10 15:14:20	G:\EM DONE\	399.EMObs
368	1.07	2017 05 10 15:14:20	G:\EM DONE\	368.EMObs
855	1.07	2017 05 10 15:14:20	E:\EM Done\	855.EMObs
RC2	1.07	2017 05 10 15:14:20	Y:\EM Done\	RC2.EMObs
218	1.07	2017 05 10 15:14:20	G:\EM DONE\	218.EMObs
443	1.07	2017 05 10 15:14:20	E:\EM Done\	443.EMObs
298	1.07	2017 05 10 15:14:20	E:\EM Done\	298.EMObs
432	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	432.EMObs
97	1.07	2017 05 10 15:14:20	E:\EM Done\	97.EMObs
640	1.07	2017 05 10 15:14:20	E:\EM Done\	640.EMObs
843	1.07	2017 05 10 15:14:20	F:\GB CONVERT\EM Done\	843.EMObs
3	1.07	2017 05 10 15:14:20	E:\EM Done\	3.EMObs
GBR2-3	1.07	2017 05 10 15:14:20	E:\EM Done\	GBR2-3.EMObs
11	1.07	2017 05 10 15:14:20	H:\EM Done\	11.EMObs
34	1.07	2017 05 10 15:14:20	\\c-fish-001\G\	34.EMObs
11R2	1.07	2017 05 10 15:14:20	E:\EM Done\	11R2.EMObs
12RC5	1.07	2017 05 10 15:14:20	Y:\EM Done\	12RC5.EMObs
1108	1.07	2017 05 10 15:14:20	G:\EM DONE\	1108.EMObs
12RC8	1.07	2017 05 10 15:14:20	E:\EM Done\	12RC8.EMObs
GBR-BOB	1.07	2017 05 10 15:14:20	F:\EM DONE\	GBR-BOB.EMObs
33	1.07	2017 05 10 15:14:20	E:\	33.EMObs
779	1.07	2017 05 10 15:14:20	F:\	779.EMObs
16	1.07	2017 05 10 15:14:20	E:\EM Done\	16.EMObs
RB1	1.07	2017 05 10 15:14:20	E:\EM Done\	RB1.EMObs
GBR1-3	1.07	2017 05 10 15:14:20	E:\EM Done\	GBR1-3.EMObs
99	1.07	2017 05 10 15:14:20	F:\GB CONVERT\EM Done\	99.EMObs
538	1.07	2017 05 10 15:14:20	E:\EM Done\	538.EMObs
53	1.07	2017 05 10 15:14:20	E:\EM Done\	53.EMObs
30	1.07	2017 05 10 15:14:20	X:\EM Done\	30.EMObs
18	1.07	2017 05 10 15:14:20	E:\EM Done\	18.EMObs
111	1.07	2017 05 10 15:14:20	\\C-fish-006\e\EM Done\	111.EMObs
330	1.07	2017 05 10 15:14:20	\\C-fish-005\E\	330.EMObs
