OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
1	Hayley																		
10	Hayley																		
10001	Logan																		
102	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
103	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
104	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
106	Logan																		
107	Logan																		
108	Logan																		
11	Hayley 			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
111	Logan																		
112	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
115	Logan																		
116	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
11R2	Brooke Gibbons																		
11R3	Brooke Gibbons																		
11R4	Brooke Gibbons																		
12	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
122	Logan																		
12RC1	Logan																		
12RC2	Daphne																		
12RC6	Logan																		
12RC7	Logan																		
12RC8	Logan																		
13	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
135	Logan																		
13RC1	Logan																		
13RC11	Logan																		
13RC12	Logan																		
13RC15	Logan																		
13RC4	Logan																		
13RC6	Logan																		
13RC8	Logan																		
13RC9	Logan																		
14	Logan																		
143	Logan																		
15	Logan																		
16	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
160	Logan																		
167	Logan																		
17	Hayley																		
170	Logan																		
18	Hayley																		
183	Logan																		
19	Logan																		
196	Logan																		
20	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
207	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
224	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
23	Hayley																		
24	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
240	Logan																		
25	Hayley																		
256	Logan																		
26	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
27	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
270	Logan																		
271	Logan																		
272	Logan																		
28	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
282	Logan																		
287	Logan																		
288	Logan																		
29	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
3	Hayley																		
30	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
31	Logan																		
32	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
327	Logan																		
331	Logan																		
335	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
35	Logan																		
36	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
37	hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
375	Logan																		
378	Logan																		
38	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
384	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
39	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
391	Logan																		
394	Logan																		
4	Hayley																		
40	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
400	Logan																		
407	Logan																		
41	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
42	Logan																		
44	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
443	Logan																		
45	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
455	Logan																		
47	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
48	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
49	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
490	Logan																		
506	Logan																		
523	Logan																		
527	Logan																		
53	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
54	Hayley																		
55	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
554	Logan																		
58	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
583	Logan																		
599	Logan																		
6	Hayley 																		
60	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
61	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
62	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
624	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
63	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
634	Logan																		
64	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
647	Logan																		
65	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
666	Logan																		
67	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
682	Logan																		
69	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
694	Logan																		
698	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
7	Logan																		
70	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
71	Logan																		
719	Logan																		
72	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
73	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
746	Logan																		
748	Logan																		
75	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
76	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
764	Logan																		
77	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
78	Logan																		
782	Logan																		
783	Hayley																		
79	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
791	Logan																		
80	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
800	Logan																		
81	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
810	Logan																		
82	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
826	Logan																		
83	Logan																		
84	Hayley																		
848	Logan																		
855	Logan																		
858	Logan																		
86	Hayley																		
87	Hayley																		
88	Hayley																		
90	Hayley																		
91	Hayley																		
92	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
95	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
96	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
97	Hayley			Bottom		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
GBR1-2	Logan																		
GBR1-3	Logan																		
GBR1-4	Logan																		
