OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
1	0	1	1_L13.avi	3613	2.00923				0
10	0	1	10_L21.avi	2299	1.27850				0
10001	0	1	10001_L14.avi	5068	2.81837	10001_L14.avi	112960	62.81837	1
102	0	1	102_L25.avi	9587	5.33144				0
103	0	1	103_L13.avi	6899	3.83661				0
104	0	1	104_L9.avi	10763	5.98543				0
106	0	1	106_L25.avi	2513	1.39751				0
107	0	1	107_L15.avi	5208	2.89623				0
108	0	1	108_L5.avi	7557	4.20254	108_L5.avi	115449	64.20254	1
11	0	1	11_L13.avi	8265	4.59626				0
111	0	1	111_L19.avi	2184	1.21455	111_L19.avi	110076	61.21455	1
112	0	1	112_L17.avi	4037	2.24502				0
115	0	1	115_L9.avi	2877	1.59993	115_L9.avi	110769	61.59993	1
116	0	1	116_L5.avi	7735	4.30152				0
11R2	0	1	11R2_L11.avi	8275	4.60182	11R2_L11.avi	116168	64.60238	1
11R3	0	1	11R3_L9.avi	6953	3.86664	11R3_L9.avi	114846	63.86720	1
11R4	0	1	11R4_L19 all good.avi	5044	2.80503	11R4_L19 all good.avi	112937	62.80558	1
12	0	1	12_L17.avi	6775	3.76766				0
122	0	1	122_L13.avi	2360	1.31242	122_L13.avi	110252	61.31242	1
12RC1	0	1	12RC1_L5.avi	2887	1.60549	12RC1_L5.avi	110779	61.60549	1
12RC2	0	1	12RC2_L19.avi	2639	1.46758	12RC2_L19.avi	110532	61.46813	1
12RC6	0	1	12RC6_L11.avi	3485	1.93805	12RC6_L11.avi	111377	61.93805	1
12RC7	0	1	12RC7_L5.avi	2048	1.13892	12RC7_L5.avi	109940	61.13892	1
12RC8	0	1	12RC8_L21.avi	2430	1.35135	12RC8_L21.avi	110322	61.35135	1
13	0	1	13_L21.avi	7986	4.44111				0
135	0	1	135_L11.avi	5487	3.05138	135_L11.avi	113379	63.05138	1
13RC1	0	1	13RC1_L9.avi	3860	2.14659	13RC1_L9.avi	111752	62.14659	1
13RC11	0	1	13RC11_L19.avi	3414	1.89857	13RC11_L19.avi	111306	61.89857	1
13RC12	0	1	13RC12_L5.avi	2892	1.60827	13RC12_L5.avi	110784	61.60827	1
13RC15	0	1	13RC15_L15.avi	11178	6.21622	13RC15_L15.avi	97379	54.15360	1
13RC4	0	1	13RC4_L13.avi	2702	1.50261	13RC4_L13.avi	110594	61.50261	1
13RC6	0	1	13RC6_L25.avi	3426	1.90524	13RC6_L25.avi	111318	61.90524	1
13RC8	0	1	13RC8_L23.avi	7567	4.20810	13RC8_L23.avi	115459	64.20810	1
13RC9	0	1	13RC9_L17.avi	6278	3.49127	13RC9_L17.avi	114170	63.49127	1
14	0	1	14_L21.avi	7780	4.32655				0
143	0	1	143_L14.avi	2616	1.45479	143_L14.avi	110508	61.45479	1
15	0	1	15_L23.avi	1710	0.95095				0
16	0	1	16_L25.avi	3793	2.10933				0
160	0	1	160_L19.avi	2584	1.43699	160_L19.avi	110476	61.43699	1
167	0	1	167_L21.avi	8992	5.00056	167_L21.avi	116884	65.00056	1
17	0	1	17_L21.avi	7088	3.94172				0
170	0	1	170_L21.avi	4869	2.70771	170_L21.avi	112761	62.70771	1
18	0	1	18_L23.avi	6034	3.35558				0
183	0	1	183_L9.avi	3099	1.72339	183_L9.avi	110991	61.72339	1
19	0	1	19_L19.avi	3986	2.21666	19_L19.avi	111878	62.21666	1
196	0	1	196_L25.avi	2548	1.41697	196_L25.avi	110440	61.41697	1
20	0	1	20_L5.avi	4842	2.69269				0
207	0	1	207_L11.avi	3622	2.01424				0
224	0	1	224_L23.avi	2667	1.48315				0
23	0	1	23_L11.avi	2096	1.16561				0
24	0	1	24_L9.avi	5907	3.28495				0
240	0	1	240_L13.avi	11006	6.12057	240_L13.avi	118898	66.12056	1
25	0	1	25_L19.avi	9127	5.07563				0
256	0	1	256_L11.avi	10017	5.57057	256_L11.avi	117909	65.57057	1
26	0	1	26_L9.avi	3079	1.71227				0
27	0	1	27_L23.avi	9530	5.29974				0
270	0	1	270_L5.avi	3806	2.11656	270_L5.avi	111698	62.11656	1
271	0	1	271_L21.avi	2439	1.35636				0
272	0	1	272_L25.avi	9401	5.22801				0
28	0	1	28_L15.avi	8595	4.77978				0
282	0	1	282_L15.avi	6708	3.73040	282_L15.avi	114600	63.73040	1
287	0	1	287_L13.avi	7419	4.12579	287_L13.avi	115311	64.12579	1
288	0	1	288_L5.avi	2559	1.42309	288_L5.avi	110451	61.42309	1
29	0	1	29_L23.avi	15838	8.80770				0
3	0	1	3_L15.avi	4365	2.42743				0
30	0	1	30_L9.avi	9552	5.31198				0
31	0	1	31_L15.avi	5507	3.06251	31_L15.avi	113399	63.06251	1
32	0	1	32_L11.avi	3827	2.12824				0
327	0	1	327_L15.avi	8401	4.67189	327_L15.avi	116293	64.67189	1
331	0	1	331_L5.avi	2583	1.43644	331_L5.avi	110475	61.43644	1
335	0	1	335_L23.avi	3148	1.75064				0
35	0	1	35_L25.avi	2613	1.45312	35_L25.avi	110505	61.45312	1
36	0	1	36_L13.avi	4334	2.41019				0
37	0	1	37_L19.avi	3469	1.92915				0
375	0	1	375_L19.avi	4188	2.32900	375_L19.avi	112080	62.32900	1
378	0	1	378_L11.avi	3002	1.66945				0
38	0	1	38_L11.avi	3669	2.04037				0
384	0	1	384_L17.avi	5766	3.20654				0
39	0	1	39_L15.avi	8012	4.45557				0
391	0	1	391_L21.avi	3879	2.15716				0
394	0	1	394_L9.avi	2136	1.18785	394_L9.avi	110028	61.18785	1
4	0	1	4_L11.avi	5868	3.26326				0
40	0	1	40_L19.avi	14018	7.79557				0
400	0	1	400_L13.avi	8550	4.75475	400_L13.avi	116442	64.75475	1
407	0	1	407_L19.avi	4454	2.47692	407_L19.avi	112346	62.47692	1
41	0	1	41_L17.avi	5574	3.09977				0
42	0	1	42_L23.avi	2736	1.52152				0
44	0	1	44_L21.avi	7774	4.32321				0
443	0	1	443_L11.avi	7454	4.14526	443_L11.avi	115346	64.14526	1
45	0	1	45_L5.avi	7501	4.17139				0
455	0	1	455_L13.avi	13033	7.24780	455_L13.avi	120925	67.24780	1
47	0	1	47_L15.avi	3956	2.19998				0
48	0	1	48_L23.avi	5810	3.23101				0
49	0	1	49_L9.avi	7249	4.03125				0
490	0	1	490_L19.avi	10225	5.68624	490_L19.avi	118117	65.68624	1
506	0	1	506_L23.avi	4592	2.55366				0
523	0	1	523_L17.avi	5044	2.80503	523_L17.avi	112936	62.80503	1
527	0	1	527_L9.avi	7434	4.13413	527_L9.avi	115326	64.13413	1
53	0	1	53_L21.avi	6183	3.43844				0
54	0	1	54_L25.avi	3284	1.82627				0
55	0	1	55_L15.avi	3654	2.03203				0
554	0	1	554_L15.avi	13822	7.68658	554_L15.avi	121714	67.68658	1
58	0	1	58_L25.avi	10255	5.70293				0
583	0	1	583_L5.avi	7058	3.92504	583_L5.avi	114950	63.92504	1
599	0	1	599_L11.avi	3040	1.69058	599_L11.avi	110932	61.69058	1
6	0	1	6_L25.avi	6466	3.59582				0
60	0	1	60_L11.avi	5918	3.29107				0
61	0	1	61_L23.avi	5487	3.05138				0
62	0	1	62_L23.avi	6225	3.46180				0
624	0	1	624_L11.avi	2575	1.43199				0
63	0	1	63_L21.avi	16211	9.01513				0
634	0	1	634_L15.avi	7787	4.33044	634_L15.avi	115679	64.33044	1
64	0	1	64_L5.avi	6370	3.54243				0
647	0	1	647_L5.avi	4529	2.51863	647_L5.avi	112421	62.51863	1
65	0	1	65_L15.avi	7150	3.97620				0
666	0	1	666_L21.avi	7201	4.00456	666_L21.avi	115093	64.00456	1
67	0	1	67_L15.avi	7985	4.44055				0
682	0	1	682_L19.avi	7529	4.18696	682_L19.avi	115421	64.18696	1
69	0	1	69_L9.avi	6266	3.48460				0
694	0	1	694_L15.avi	3344	1.85964	694_L15.avi	111236	61.85964	1
698	0	1	698_L9.avi	3328	1.85074				0
7	0	1	7_L11.avi	3317	1.84462	7_L11.avi	111209	61.84462	1
70	0	1	70_L9.avi	10804	6.00823				0
71	0	1	71_L23.avi	4054	2.25448	71_L23.avi	111946	62.25448	1
719	0	1	719_L13.avi	2547	1.41642	719_L13.avi	110439	61.41642	1
72	0	1	72_L25.avi	6480	3.60360				0
73	0	1	73_L11.avi	8924	4.96274				0
746	0	1	746_L11.avi	6068	3.37449	746_L11.avi	113960	63.37449	1
748	0	1	748_L23.avi	5631	3.13146	748_L23.avi	113523	63.13146	1
75	0	1	75_L21.avi	3974	2.20999				0
76	0	1	76_L13.avi	5667	3.15148				0
764	0	1	764_L11.avi	4813	2.67657	764_L11.avi	112705	62.67657	1
77	0	1	77_L13.avi	7383	4.10577				0
78	0	1	78_L23.avi	5788	3.21877				0
