OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
1	1.08	2020 09 08 21:09:16	E:\	1.EMObs
10	1.08	2020 09 08 21:09:16	G:\	10.EMObs
10001	1.08	2020 09 08 21:09:16	E:\	10001.EMObs
102	1.08	2020 09 08 21:09:16	G:\	102.EMObs
103	1.08	2020 09 08 21:09:16	G:\	103.EMObs
104	1.08	2020 09 08 21:09:16	G:\	104.EMObs
106	1.08	2020 09 08 21:09:16	E:\	106.EMObs
107	1.08	2020 09 08 21:09:16	E:\	107.EMObs
108	1.08	2020 09 08 21:09:16	E:\	108.EMObs
11	1.08	2020 09 08 21:09:16	G:\	11.EMObs
111	1.08	2020 09 08 21:09:16	E:\	111.EMObs
112	1.08	2020 09 08 21:09:16	G:\	112.EMObs
115	1.08	2020 09 08 21:09:16	G:\	115.EMObs
116	1.08	2020 09 08 21:09:16	G:\	116.EMObs
11R2	1.08	2020 09 08 21:09:16	G:\	11R2.EMObs
11R3	1.08	2020 09 08 21:09:16	G:\	11R3.EMObs
11R4	1.08	2020 09 08 21:09:16	G:\	11R4.EMObs
12	1.08	2020 09 08 21:09:16	E:\	12.EMObs
122	1.08	2020 09 08 21:09:16	E:\	122.EMObs
12RC1	1.08	2020 09 08 21:09:16	F:\	12RC1.EMObs
12RC2	1.08	2020 09 08 21:09:16	G:\	12RC2.EMObs
12RC6	1.08	2020 09 08 21:09:16	E:\	12RC6.EMObs
12RC7	1.08	2020 09 08 21:09:16	E:\	12RC7.EMObs
12RC8	1.08	2020 09 08 21:09:16	F:\	12RC8.EMObs
13	1.08	2020 09 08 21:09:16	E:\	13.EMObs
135	1.08	2020 09 08 21:09:16	E:\	135.EMObs
13RC1	1.08	2020 09 08 21:09:16	F:\	13RC1.EMObs
13RC11	1.08	2020 09 08 21:09:16	E:\	13RC11.EMObs
13RC12	1.08	2020 09 08 21:09:16	E:\	13RC12.EMObs
13RC15	1.08	2020 09 08 21:09:16	E:\	13RC15.EMObs
13RC4	1.08	2020 09 08 21:09:16	E:\	13RC4.EMObs
13RC6	1.08	2020 09 08 21:09:16	E:\	13RC6.EMObs
13RC8	1.08	2020 09 08 21:09:16	E:\	13RC8.EMObs
13RC9	1.08	2020 09 08 21:09:16	E:\	13RC9.EMObs
14	1.08	2020 09 08 21:09:16	E:\	14.EMObs
143	1.08	2020 09 08 21:09:16	E:\	143.EMObs
15	1.08	2020 09 08 21:09:16	E:\	15.EMObs
16	1.08	2020 09 08 21:09:16	G:\	16.EMObs
160	1.08	2020 09 08 21:09:16	E:\	160.EMObs
167	1.08	2020 09 08 21:09:16	E:\	167.EMObs
17	1.08	2020 09 08 21:09:16	I:\	17.EMObs
170	1.08	2020 09 08 21:09:16	E:\	170.EMObs
18	1.08	2020 09 08 21:09:16	G:\	18.EMObs
183	1.08	2020 09 08 21:09:16	E:\	183.EMObs
19	1.08	2020 09 08 21:09:16	E:\	19.EMObs
196	1.08	2020 09 08 21:09:16	F:\	196.EMObs
20	1.08	2020 09 08 21:09:16	I:\	20.EMObs
207	1.08	2020 09 08 21:09:16	G:\	207.EMObs
224	1.08	2020 09 08 21:09:16	G:\	224.EMObs
23	1.08	2020 09 08 21:09:16	I:\	23.EMObs
24	1.08	2020 09 08 21:09:16	I:\	24.EMObs
240	1.08	2020 09 08 21:09:16	E:\	240.EMObs
25	1.08	2020 09 08 21:09:16	G:\	25.EMObs
256	1.08	2020 09 08 21:09:16	E:\	256.EMObs
26	1.08	2020 09 08 21:09:16	E:\	26.EMObs
27	1.08	2020 09 08 21:09:16	E:\	27.EMObs
270	1.08	2020 09 08 21:09:16	F:\	270.EMObs
271	1.08	2020 09 08 21:09:16	E:\	271.EMObs
272	1.08	2020 09 08 21:09:16	E:\	272.EMObs
28	1.08	2020 09 08 21:09:16	G:\	28.EMObs
282	1.08	2020 09 08 21:09:16	E:\	282.EMObs
287	1.08	2020 09 08 21:09:16	E:\	287.EMObs
288	1.08	2020 09 08 21:09:16	E:\	288.EMObs
29	1.08	2020 09 08 21:09:16	F:\	29.EMObs
3	1.08	2020 09 08 21:09:16	G:\	3.EMObs
30	1.08	2020 09 08 21:09:16	I:\	30.EMObs
31	1.08	2020 09 08 21:09:16	E:\	31.EMObs
32	1.08	2020 09 08 21:09:16	F:\	32.EMObs
327	1.08	2020 09 08 21:09:16	E:\	327.EMObs
331	1.08	2020 09 08 21:09:16	E:\	331.EMObs
