OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
714	0	714_L11.avi	10190	714_R12.avi	9580	5.66678	P1	2.05761	165.50138	2.80494	1.31057	1653.34933	26.22174	36.71343	0.50543	701.15825	-205.05073	-1483.20441	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
714	2	714_L11.avi	25156	714_R12.avi	24546	13.98955	P1	10.38038	333.06432	2.30446	5.67989	2307.07078	13.28861	1.07068	4.71177	-477.53927	-230.58349	-2245.298	Labridae	Coris	auricularis	37384088	1	M	Passing			
714	4	714_L11.avi	34022	714_R12.avi	33412	18.92003	P1	15.31087	254.77394	1.72914	4.64718	2343.20593	5.29835	1.93623	1.68429	-201.61019	-78.56133	-2333.19426	Carangidae	Pseudocaranx	spp		1	AD	Passing			
714	5	714_L11.avi	34068	714_R12.avi	33458	18.94561	P1	15.33645	241.69861	3.14363	3.84521	1971.13929	11.11615	23.64761	3.68599	363.11191	-112.13693	-1934.15748	Carangidae	Pseudocaranx	spp		1	AD	Passing			
714	6	714_L11.avi	34068	714_R12.avi	33458	18.94561	P1	15.33645	230.81055	1.87977	3.47452	1911.32586	2.81928	12.52503	5.84198	45.01622	-82.53151	-1909.01247	Carangidae	Pseudocaranx	spp		1	AD	Passing			
714	7	714_L11.avi	48203	714_R12.avi	47593	26.80625	P1	23.19709	263.65403	4.88106	2.4416	2421.51378	18.85656	28.44002	24.67713	776.64759	-96.60925	-2291.55279	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
714	8	714_L11.avi	55612	714_R12.avi	55002	30.92648	P1	27.31732	289.01284	5.78858	3.07784	2242.77439	26.92598	52.62691	8.18049	-905.09447	460.73809	-1999.64031	Ostraciidae	Anoplocapros	amygdaloides	37466015	1	AD	Passing			
714	9	714_L11.avi	58445	714_R12.avi	57835	32.50195	P1	28.89278	94.43623	2.34609	2.7765	1679.22085	14.49032	27.01202	14.92999	-96.84863	-408.85445	-1625.80474	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
714	10	714_L11.avi	58480	714_R12.avi	57870	32.52141	P1	28.91225	87.88415	2.18086	3.35674	1588.79472	12.62542	26.53862	1.32401	-138.77907	-318.33743	-1550.37748	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
714	12	714_L11.avi	58768	714_R12.avi	58158	32.68157	P1	29.07241	100.83779	6.05002	4.26045	2227.49103	26.93083	58.38371	0.03585	-1005.16995	-86.24199	-1985.92849	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
714	13	714_L11.avi	74526	714_R12.avi	73916	41.44478	P1	37.83561	408.31635	1.83784	1.78942	1852.6193	15.40832	4.44677	6.30901	-460.00496	175.18405	-1786.03031	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
714	14	714_L11.avi	90207	714_R12.avi	89597	50.16517	P1	46.556	196.45929	0.9878	1.93818	1224.47385	5.87774	12.45115	2.8736	74.64263	-100.75715	-1218.03641	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	15	714_L11.avi	90303	714_R12.avi	89693	50.21855	P1	46.60939	215.70304	1.08639	1.72758	1315.86151	12.5663	17.929	47.46622	-276.17477	75.43224	-1284.3399	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	16	714_L11.avi	90317	714_R12.avi	89707	50.22634	P1	46.61717	143.34538	1.1999	4.95585	1292.54412	17.31367	20.49848	37.82822	-337.68442	-184.2175	-1233.9787	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	17	714_L11.avi	90348	714_R12.avi	89738	50.24358	P1	46.63441	227.05968	5.68852	3.10617	3111.31737	18.5342	12.05596	16.61253	-988.35144	35.71751	-2949.94601	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	18	714_L11.avi	90371	714_R12.avi	89761	50.25637	P1	46.6472	249.51501	1.92757	4.43301	1586.09108	23.46064	17.83135	13.38123	-609.9107	-163.52934	-1454.97492	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	19	714_L11.avi	90381	714_R12.avi	89771	50.26193	P1	46.65276	278.46367	2.21515	3.68842	1792.28187	10.70215	20.73365	24.75757	-263.73565	203.03032	-1761.10661	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	20	714_L11.avi	90391	714_R12.avi	89781	50.26749	P1	46.65832	257.83732	4.32161	3.05394	2038.51889	18.26649	35.87523	4.79748	545.71411	332.34036	-1935.79577	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	21	714_L11.avi	90391	714_R12.avi	89781	50.26749	P1	46.65832	263.07733	7.24833	6.12587	2852.22523	13.91055	28.6574	1.14599	-678.14794	-101.44811	-2768.57588	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	22	714_L11.avi	90400	714_R12.avi	89790	50.27249	P1	46.66333	122.84422	0.80631	2.34953	1220.81149	6.14817	2.01234	12.49648	-105.79624	-76.82713	-1213.7897	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	23	714_L11.avi	90428	714_R12.avi	89818	50.28807	P1	46.6789	298.08403	4.63159	1.57014	2088.46948	14.67561	39.18599	22.1955	495.98294	184.26558	-2020.3346	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	24	714_L11.avi	90437	714_R12.avi	89827	50.29307	P1	46.68391	140.00653	1.51045	2.52675	1159.83255	15.16259	38.92664	23.12963	-297.35946	-60.06213	-1119.45586	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	25	714_L11.avi	90459	714_R12.avi	89849	50.30531	P1	46.69614	277.43259	1.04121	2.70256	1488.66279	8.52539	4.26134	43.02228	217.00381	-40.17152	-1472.21347	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	26	714_L11.avi	90477	714_R12.avi	89867	50.31532	P1	46.70615	433.28315	9.56207	18.41874	3786.65896	18.66907	16.53256	0.28356	-1207.50204	105.65431	-3587.41718	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	27	714_L11.avi	90490	714_R12.avi	89880	50.32254	P1	46.71338	120.32009	0.87398	1.51792	1116.04657	2.79301	14.11166	21.97525	-34.82465	-41.76981	-1114.7208	Labridae	Coris	auricularis	37384088	1	F	Passing			
714	28	714_L11.avi	90491	714_R12.avi	89881	50.3231	P1	46.71394	126.29385	2.9808	2.95666	1654.91901	17.16943	43.0876	26.49078	-488.52737	1.41409	-1581.16917	Labridae	Coris	auricularis	37384088	1	F	Passing			
