CampaignID	Sample	Latitude	Longitude	Date	Time	Location	Status	Site	Depth	Observer	Successful
2014-12_Geographe.Bay_stereoBRUVs	1	-33.36345	115.21415	2014-12-10	13:20:00	Geographe Bay	Fished		40	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	2	-33.4405333	115.10095	2014-12-10	06:29:00	Geographe Bay	Fished		40.5	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	3	-33.4920833	115.3549	2014-12-13	08:41:00	Geographe Bay	Fished		24.8	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	4	-33.3921	115.2280833	2014-12-10	14:13:00	Geographe Bay	Fished		38.4	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	5	-33.3627833	115.45495	2014-12-11	09:43:00	Geographe Bay	Fished		25.7	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	6	-33.4070833	115.1204167	2014-12-10	07:55:00	Geographe Bay	Fished		41.8	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	7	-33.4204833	115.4457	2014-12-13	11:04:00	Geographe Bay	Fished		23.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	9	-33.3643333	115.1361167	2014-12-10	10:04:00	Geographe Bay	Fished		41.8	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	10	-33.5281667	115.3313333	2014-12-12	10:48:00	Geographe Bay	Fished		22.7	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	11	-33.5712167	115.2958167	2014-12-12	08:59:00	Geographe Bay	Fished		21.7	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	12	-33.40395	115.2615667	2014-12-10	14:00:00	Geographe Bay	Fished		38.7	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	13	-33.4501833	115.0925167	2014-12-09	13:41:00	Geographe Bay	Fished		42.4	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	14	-33.5296667	115.4130333	2014-12-13	05:56:00	Geographe Bay	Fished		13.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	15	-33.5782333	115.2147833	2014-12-12	06:27:00	Geographe Bay	Fished		26.2	laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	16	-33.3889	115.4986167	2014-12-11	12:21:00	Geographe Bay	Fished		20	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	17	-33.3635833	115.23265	2014-12-10	13:27:00	Geographe Bay	Fished		38.8	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	18	-33.3926	115.0981333	2014-12-10	07:44:00	Geographe Bay	Fished		42.4	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	19	-33.4605	115.3618	2014-12-13	10:33:00	Geographe Bay	Fished		26	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	20	-33.4338667	115.2221167	2014-12-10	11:09:00	Geographe Bay	Fished		36	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	21	-33.3857167	115.39765	2014-12-14	06:54:00	Geographe Bay	Fished		15.7	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	22	-33.57455	115.1806667	2014-12-09	07:10:00	Geographe Bay	Fished		22.6	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	23	-33.5041833	115.4289333	2014-12-16	11:29:00	Geographe Bay	Fished		13.6	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	24	-33.47115	115.2861667	2014-12-09	06:05:00	Geographe Bay	Fished		29.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	25	-33.3833333	115.0827833	2014-12-10	07:10:00	Geographe Bay	Fished		42.5	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	26	-33.5500333	115.3236167	2014-12-12	11:02:00	Geographe Bay	Fished		20.5	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	27	-33.5463667	115.1883833	2014-12-09	07:00:00	Geographe Bay	Fished		28.2	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	28	-33.42715	115.2872833	2014-12-11	07:07:00	Geographe Bay	Fished		34	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	29	-33.4869667	115.1764	2014-12-09	10:30:00	Geographe Bay	Fished		34.3	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	30	-33.42405	115.33405	2014-12-11	06:37:00	Geographe Bay	Fished		31.8	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	31	-33.5986333	115.2369167	2014-12-12	05:55:00	Geographe Bay	Fished		26.3	laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	32	-33.4807833	115.46205	2014-12-13	07:53:00	Geographe Bay	Fished		14.1	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	33	-33.3527667	115.3204833	2014-12-11	08:54:00	Geographe Bay	Fished		34.1	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	34	-33.3845167	115.0739	2014-12-10	07:05:00	Geographe Bay	Fished		43	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	35	-33.4055	115.4157167	2014-12-13	11:14:00	Geographe Bay	Fished		27.9	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	36	-33.4269	115.20765	2014-12-10	11:17:00	Geographe Bay	Fished		38.2	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	37	-33.3585	115.3721	2014-12-11	09:11:00	Geographe Bay	Fished		30.3	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	38	-33.5036833	115.1274333	2014-12-09	12:45:00	Geographe Bay	Fished		34.5	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	39	-33.465	115.43285	2014-12-11	13:20:00	Geographe Bay	Fished		19.8	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	40	-33.4719667	115.2287167	2014-12-09	09:57:00	Geographe Bay	Fished		33.7	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	41	-33.36785	115.0985833	2014-12-10	07:35:00	Geographe Bay	Fished		42.5	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	42	-33.5425167	115.3862333	2014-12-12	13:13:00	Geographe Bay	Fished		13	laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	44	-33.3984333	115.30965	2014-12-11	06:54:00	Geographe Bay	Fished		34.4	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	45	-33.4445667	115.13165	2014-12-09	13:28:00	Geographe Bay	Fished		41.1	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	46	-33.4028	115.3493	2014-12-14	06:35:00	Geographe Bay	Fished		18	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	47	-33.5485	115.2877667	2014-12-12	10:29:00	Geographe Bay	Fished		24.3	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	48	-33.40275	115.5133833	2014-12-11	12:31:00	Geographe Bay	Fished		17.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	49	-33.3809167	115.2720667	2014-12-10	13:51:00	Geographe Bay	Fished		37.7	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	50	-33.4108	115.1742333	2014-12-10	10:29:00	Geographe Bay	Fished		40.5	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	51	-33.4315667	115.41365	2014-12-13	10:52:00	Geographe Bay	Fished		25.4	Damon	Yes
2014-12_Geographe.Bay_stereoBRUVs	52	-33.49265	115.2982	2014-12-09	06:14:00	Geographe Bay	Fished		29.7	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	53	-33.3582167	115.3565167	2014-12-11	09:04:00	Geographe Bay	Fished		31.4	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	54	-33.51305	115.1532	2014-12-09	10:47:00	Geographe Bay	Fished		33.1	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	55	-33.5708667	115.2801167	2014-12-12	09:05:00	Geographe Bay	Fished		22.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	56	-33.4953	115.2224167	2014-12-09	09:49:00	Geographe Bay	Fished		32	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	58	-33.56965	115.3795833	2014-12-12	13:02:00	Geographe Bay	Fished		13.5	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	60	-33.3626167	115.5049333	2014-12-11	09:55:00	Geographe Bay	Fished		21.5	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	61	-33.4992833	115.1345167	2014-12-09	12:50:00	Geographe Bay	Fished		34.8	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	62	-33.4505	115.3306833	2014-12-11	06:24:00	Geographe Bay	Fished		29.3	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	63	-33.50385	115.2562	2014-12-09	06:29:00	Geographe Bay	Fished		30	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	64	-33.4364167	115.50945	2014-12-11	12:54:00	Geographe Bay	Fished		14.2	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	65	-33.3597167	115.2047667	2014-12-10	13:15:00	Geographe Bay	Fished		39.4	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	67	-33.4783167	115.0859333	2014-12-09	13:58:00	Geographe Bay	Fished		39.4	Damo	Yes
2014-12_Geographe.Bay_stereoBRUVs	68	-33.3881667	115.2426	2014-12-10	14:07:00	Geographe Bay	Fished		38.9	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	69	-33.3534333	115.4040333	2014-12-11	09:23:00	Geographe Bay	Fished		28.7	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	70	-33.4158833	115.1513667	2014-12-10	10:46:00	Geographe Bay	Fished		41	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	71	-33.4270833	115.4286667	2014-12-13	10:58:00	Geographe Bay	Fished		24.4	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	72	-33.4624833	115.32235	2014-12-11	06:07:00	Geographe Bay	Fished		29.4	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	73	-33.3718	115.1456	2014-12-10	10:10:00	Geographe Bay	Fished		41.5	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	75	-33.5893333	115.29455	2014-12-12	08:52:00	Geographe Bay	Fished		16.6	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	76	-33.41295	115.2846833	2014-12-11	07:01:00	Geographe Bay	Fished		35.2	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	77	-33.45575	115.1029	2014-12-09	13:50:00	Geographe Bay	Fished		40.8	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	78	-33.5076	115.4437667	2014-12-13	06:18:00	Geographe Bay	Fished		13.4	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	79	-33.5874	115.2308833	2014-12-12	08:16:00	Geographe Bay	Fished		18.5	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	80	-33.3515833	115.5195333	2014-12-11	10:01:00	Geographe Bay	Fished		20.7	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	81	-33.3788167	115.23045	2014-12-10	14:18:00	Geographe Bay	Fished		38.9	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	82	-33.3955167	115.1102833	2014-12-10	07:49:00	Geographe Bay	Fished		42.6	laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	83	-33.46935	115.37905	2014-12-13	10:26:00	Geographe Bay	Fished		24.6	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	84	-33.3964667	115.1924	2014-12-10	11:28:00	Geographe Bay	Fished		41	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	86	-33.5405167	115.1785167	2014-12-09	07:24:00	Geographe Bay	Fished		28.6	Lizzy	Yes
2014-12_Geographe.Bay_stereoBRUVs	87	-33.4896	115.4589333	2014-12-13	07:49:00	Geographe Bay	Fished		13	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	88	-33.5010667	115.2145333	2014-12-09	09:45:00	Geographe Bay	Fished		31.4	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	89	-33.3828167	115.0563833	2014-12-10	06:58:00	Geographe Bay	Fished		43.9	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	90	-33.5333167	115.3224833	2014-12-12	10:53:00	Geographe Bay	Fished		22	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	91	-33.5396	115.2060833	2014-12-09	06:54:00	Geographe Bay	Fished		29.8	Laura	Yes
2014-12_Geographe.Bay_stereoBRUVs	92	-33.4175833	115.3149833	2014-12-11	06:43:00	Geographe Bay	Fished		33	Lauren	Yes
2014-12_Geographe.Bay_stereoBRUVs	93	-33.4813167	115.15275	2014-12-09	12:59:00	Geographe Bay	Fished		36	Laura	Yes
