OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
714	0	0	1711.33042	731.26748	1531.66396	744.72919
714	0	1	1916.10244	742.05549	1730.43973	757.91454
714	1	0	1481.07433	1041.64262	1198.05122	1065.61598
714	2	0	471.83011	724.42286	484.81324	710.87680
714	2	1	730.86821	735.51054	715.06933	721.66482
714	3	0	175.69019	684.96781	521.05684	666.08213
714	4	0	714.13616	604.67925	716.54403	598.48391
714	4	1	897.42161	605.47836	890.03560	595.88679
714	5	0	1194.91380	636.68479	1112.74391	629.46726
714	5	1	1399.49719	622.30744	1308.62149	613.48502
714	6	0	948.16302	627.88790	829.97689	622.66926
714	6	1	1127.85072	600.11876	1026.85384	592.90233
714	7	0	1396.93254	560.83574	1429.11118	546.11543
714	7	1	1575.02124	632.45616	1617.99313	628.82353
714	8	0	47.67021	138.28413	46.17114	211.93452
714	8	1	285.12180	158.06215	288.11993	203.24417
714	9	0	925.72205	955.32297	714.31418	948.71476
714	9	1	1001.67458	965.31188	805.45721	960.70144
714	10	0	890.33479	891.69145	647.12992	884.29967
714	10	1	968.08620	881.10322	739.27233	875.50943
714	11	0	906.63335	927.76915	368.16989	931.36515
714	12	0	45.87133	648.26415	71.65522	646.75583
714	12	1	129.21924	643.16981	156.20237	638.36515
714	13	0	375.53217	363.00777	271.64022	391.32852
714	13	1	777.85384	406.34184	636.21237	413.80355
714	14	0	1129.36540	678.50166	713.33729	685.29634
714	14	1	1392.00125	661.12098	953.78701	667.91565
714	15	0	690.10806	342.92897	306.41599	371.34628
714	15	1	874.79263	551.49723	508.48969	561.33518
714	16	0	639.12867	876.82575	239.85009	861.61709
714	16	1	783.03873	738.97891	393.35415	736.95560
714	17	0	247.04560	560.04440	407.74516	559.68036
714	17	1	375.36540	516.89234	506.68332	520.72364
714	18	0	241.04934	724.29301	62.96065	717.46837
714	18	1	519.27545	792.01776	256.63960	779.79911
714	19	0	654.86508	294.97447	491.83011	311.02109
