"campaignid","sample","family","genus","species"
"2014-12_Geographe-bay","10","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","10001","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","102","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","103","Odacidae","Heteroscarus","acroptilus"
"2014-12_Geographe-bay","103","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","106","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","107","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","108","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","11","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","111","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","112","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","115","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","116","Mullidae","Upeneichthys","sp1"
"2014-12_Geographe-bay","11R2","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","12","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","12RC7","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","13RC1","Aphyonidae","Barathronus","maculatus"
"2014-12_Geographe-bay","13RC1","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","13RC11","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","13RC12","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","13RC4","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","13RC6","Mullidae","Upeneichthys","sp1"
"2014-12_Geographe-bay","13RC6","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","14","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","143","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","15","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","16","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","160","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","170","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","18","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","207","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","224","Odacidae","Heteroscarus","acroptilus"
"2014-12_Geographe-bay","25","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","256","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","26","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","27","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","27","Urolophidae","Trygonoptera","sp10"
"2014-12_Geographe-bay","270","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","272","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","28","Odacidae","Heteroscarus","acroptilus"
"2014-12_Geographe-bay","28","Serranidae","Caesioperca","sp1"
"2014-12_Geographe-bay","282","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","29","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","3","Carcharhinidae","Carcharhinus","sp10"
"2014-12_Geographe-bay","3","Scombridae","Thunnus","sp1"
"2014-12_Geographe-bay","3","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","30","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","31","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","327","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","331","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","335","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","35","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","36","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","37","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","375","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","378","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","38","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","39","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","391","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","394","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","4","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","40","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","407","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","41","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","42","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","443","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","45","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","455","Trygonorrhinidae","Trygonorrhina","dumerilii"
"2014-12_Geographe-bay","47","Trygonorrhinidae","Trygonorrhina","dumerilii"
