"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Carcharhinidae","Galeocerdo","cuvier",41.739,41.739,41.739,163.66,163.66,163.66
"Lamnidae","Isurus","oxyrinchus",39.544,39.544,39.544,173.37,173.37,173.37
"Orectolobidae","Orectolobus","hutchinsi",13.074,13.074,13.074,123.54,123.54,123.54
"Sphyrnidae","Sphyrna","lewini",12.631,12.631,12.631,105.27,105.27,105.27
"Dasyatidae","Bathytoshia","brevicaudata",8.806,29.955,2.36,64.9,95.02,150.56
"Carangidae","Seriola","hippos",7.632,30.549,0.224,22.54,66.32,115.95
"Triakidae","Mustelus","antarcticus",5.424,7.585,3.176,78.68,93.42,105.17
"Sphyrnidae","Sphyrna","zygaena",5.119,5.119,5.119,87.01,87.01,87.01
"Triakidae","Galeorhinus","galeus",4.733,5.93,4.089,93.31,97.9,106.36
"Rhinobatidae","Trygonorrhina","dumerilii",3.415,7.807,0.104,25.64,79.25,109.06
"Cheilodactylidae","Dactylophora","nigricans",3.388,6.567,1.129,52.01,71.88,91.45
"Heterodontidae","Heterodontus","portusjacksoni",2.559,7.745,0.408,36.64,61.62,94.09
"Kyphosidae","Kyphosus","sydneyanus",2.443,4.415,1.849,40.56,43.88,53.93
"Scombridae","Thunnus","maccoyii",2.127,2.127,2.127,46.3,46.3,46.3
"Parascylliidae","Parascyllium","variolatum",2.039,2.421,1.656,63.71,67.83,71.96
"Cheilodactylidae","Nemadactylus","valenciennesi",1.907,4.535,0.474,30.03,45.52,63.45
"Kyphosidae","Kyphosus","spp",1.746,1.746,1.746,39.81,39.81,39.81
"Orectolobidae","Orectolobus","halei",1.742,1.742,1.742,64.75,64.75,64.75
"Zeidae","Zeus","faber",1.647,1.647,1.647,41.48,41.48,41.48
"Sparidae","Chrysophrys","auratus",1.456,8.763,0.189,19.86,36.75,78.52
"Rhinobatidae","Trygonorrhina","fasciata",1.43,1.43,1.43,63.09,63.09,63.09
"Rhinobatidae","Aptychotrema","vincentiana",1.381,1.645,1.092,56.37,60.85,64.67
"Haemulidae","Plectorhinchus","flavomaculatus",1.327,1.831,0.824,32.29,37.49,42.69
"Monacanthidae","Meuschenia","freycineti",1.176,2,0.015,9.35,38.38,50.67
"Glaucosomatidae","Glaucosoma","hebraicum",0.925,3.975,0.2,23.95,36.84,65.32
"Plotosidae","Cnidoglanis","macrocephalus",0.923,0.923,0.923,57.89,57.89,57.89
"Myliobatidae","Myliobatis","tenuicaudatus",0.913,4.487,0.076,24.49,51.35,91.58
"Parascylliidae","Parascyllium","ferrugineum",0.896,1.585,0.279,36,49.92,62.82
"Serranidae","Othos","dentex",0.772,1.307,0.235,30.35,43.72,54.05
"Labridae","Choerodon","rubescens",0.768,4.683,0.06,14.92,31.81,62.92
"Neosebastidae","Neosebastes","pandus",0.754,1.544,0.252,23.05,32.53,42.09
"Scorpididae","Tilodon","sexfasciatus",0.691,0.994,0.579,27.98,29.5,33.53
"Pleuronectidae","Unknown","spp",0.676,1.407,0.353,28.11,33.67,44.71
"Triglidae","Chelidonichthys","kumu",0.636,0.721,0.55,36.73,38.5,40.2
"Monacanthidae","Acanthaluteres","brownii",0.599,1.075,0.355,27.99,33.15,40.94
"Urolophidae","Urolophus","circularis",0.572,0.903,0.371,31.84,36.28,42.68
"Monacanthidae","Unknown","spp",0.559,0.559,0.559,33.04,33.04,33.04
"Aulopidae","Latropiscis","purpurissatus",0.534,1.043,0.163,26.81,36.98,48.5
"Oplegnathidae","Oplegnathus","woodwardi",0.529,0.529,0.529,29.48,29.48,29.48
"Scorpaenidae","Scorpaena","sumptuosa",0.519,0.519,0.519,33.64,33.64,33.64
"Sparidae","Rhabdosargus","sarba",0.508,1.013,0.251,22.98,28.48,36.92
"Monacanthidae","Meuschenia","hippocrepis",0.508,0.93,0.167,21.59,30.87,38.95
"Labridae","Bodianus","frenchii",0.495,0.806,0.166,22.76,32.21,38.23
"Sphyraenidae","Sphyraena","novaehollandiae",0.489,0.748,0.331,43.98,51,61.2
"Sillaginidae","Sillaginodes","punctatus",0.464,1.63,0.033,17.48,37.12,58.94
