"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2014-12_Geographe.Bay_stereoBRUVs","714","Aracanidae","Anoplocapros","amygdaloides",289.01284,45,255,300,"too big",34.01284,96.3376133333333
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",433.28315,60,340,400,"too big",93.28315,108.3207875
"2014-12_Geographe.Bay_stereoBRUVs","272","Labridae","Austrolabrus","maculatus",113.81945,18.825,106.675,125.5,"too big",7.14445000000001,90.6927888446215
"2014-12_Geographe.Bay_stereoBRUVs","272","Labridae","Coris","auricularis",361.55072,60,340,400,"too big",21.55072,90.38768
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Pomacentridae","Chromis","klunzingeri",78.36857,9.75,55.25,65,"too big",23.11857,120.567030769231
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Pomacentridae","Chromis","klunzingeri",76.45891,9.75,55.25,65,"too big",21.20891,117.629092307692
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Pomacentridae","Chromis","klunzingeri",84.10475,9.75,55.25,65,"too big",28.85475,129.391923076923
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Pomacentridae","Chromis","klunzingeri",80.05372,9.75,55.25,65,"too big",24.80372,123.159569230769
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Pomacentridae","Chromis","klunzingeri",75.85423,9.75,55.25,65,"too big",20.60423,116.698815384615
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Pomacentridae","Chromis","klunzingeri",84.53451,9.75,55.25,65,"too big",29.28451,130.053092307692
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Pomacentridae","Chromis","klunzingeri",78.87156,9.75,55.25,65,"too big",23.62156,121.340861538462
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Pomacentridae","Chromis","klunzingeri",88.5186,9.75,55.25,65,"too big",33.2686,136.182461538462
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Pomacentridae","Chromis","klunzingeri",56.14615,9.75,55.25,65,"too big",0.896149999999999,86.3786923076923
