 ,Sample,UWA.con.number,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Curtin.Observer,Curtin.length.analyst,Observer,Successful.count,Successful.length,Left.cam,Right.cam,Video.notes,Con.hdd.number,Raw.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes
2014-12_Geographe.Bay_stereoBRUVs,1,1,,,2014-12-10,13:20:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),40,Hayley,23.06.20,Brooke Gibbons,Lizzy,Laura,Hayley,,,13,14,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,2,1,,,2014-12-10,06:29:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),40.5,Test video ,,Brooke Gibbons,Lizzy,Laura,Test video ,,,15,16,y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,3,1,,,2014-12-13,08:41:00,,Geographe Bay,Multiple Use Zone,24.8,Hayley ,25.06.20,Brooke Gibbons,Lizzy,Damo,Hayley ,,,15,16,,3,,,,,,,Right out early
2014-12_Geographe.Bay_stereoBRUVs,4,1,,,2014-12-10,14:13:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),38.4,Hayley ,25.06.20,Brooke Gibbons,Lizzy,Tamy,Hayley ,,,11,12,Y,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,5,1,,,2014-12-11,09:43:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),25.7,Test video ,,,Lizzy,Ronen,Test video ,,,23,24,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,6,1,,,2014-12-10,07:55:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),41.8,Hayley ,25.06.20,Brooke Gibbons,Lizzy,Laura,Hayley ,,,25,26,Y,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,7,3,,,2014-12-13,11:04:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),23.2,,,,Lizzy,Damon,,,,11,12,,5,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,8,,,,2014-12-11,06:15:00,,Geographe Bay,,30.6,,,,N/A,N/A,,N,N,11,12,Facing up,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,9,,,,2014-12-10,10:04:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),41.8,,,,Lauren,N/A,,,No,25,26,R cam cut out on seabed,2,,,,,,,did not film sheet
2014-12_Geographe.Bay_stereoBRUVs,10,1,,,2014-12-12,10:48:00,,Geographe Bay,Multiple Use Zone,22.7,Hayley ,26.06.20,Brooke Gibbons,Lauren,Ronen,Hayley ,,,21,22,,1,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,11,1,,,2014-12-12,08:59:00,,Geographe Bay,Multiple Use Zone,21.7,Hayley ,29.06.20,Brooke Gibbons,Lauren,Tamy,Hayley ,,,13,14,,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,12,1,,,2014-12-10,14:00:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),38.7,Hayley ,29.06.20,Brooke Gibbons,Lauren,Ronen,Hayley ,,,17,18,Y,2,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,13,1,,,2014-12-09,13:41:00,,Geographe Bay,Special Purpose Zone (Mining Exclusion),42.4,Hayley ,29.06.20,Brooke Gibbons,Lauren,Ronen,Hayley ,,,21,22,Y,1,,,,,,,"BLUE HOUSING, FACING UP A BIT, CHECK"
2014-12_Geographe.Bay_stereoBRUVs,14,2,,,2014-12-13,05:56:00,,Geographe Bay,Multiple Use Zone,13.2,Logan,08.07.20,Brooke Gibbons,Lizzy,Lauren,Logan,,,21,22,,4,,,,,,,
2014-12_Geographe.Bay_stereoBRUVs,15,2,,,2014-12-12,06:27:00,,Geographe Bay,Habitat Protection Zone,26.2,Logan,08.07.20,Brooke Gibbons,laura,Lauren,Logan,,,23,24,,4,,,,,,,
