"","x","sample","uwa.con.number","date","time","site","location","status","depth","maxn.analyst","maxn.complete.yyyymmdd","maxn.checker","curtin.observer","curtin.length.analyst","observer","successful.count","successful.length","left.cam","right.cam","video.notes","con.hdd.number","raw.hdd.number","habitat.image.saved","vis.in.metres","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes","latitude","longitude"
"1","2014-12_Geographe.Bay_stereoBRUVs","1","1","2014-12-10","13:20:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","40","Hayley","23.06.20","Brooke Gibbons","Lizzy","Laura","Hayley","Yes","",13,14,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.36345,115.21415
"2","2014-12_Geographe.Bay_stereoBRUVs","2","1","2014-12-10","06:29:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","40.5","Test video ","","Brooke Gibbons","Lizzy","Laura","Test video ","","",15,16,"y","1",NA,NA,NA,NA,NA,NA,"",-33.4405333,115.10095
"3","2014-12_Geographe.Bay_stereoBRUVs","3","1","2014-12-13","08:41:00",NA,"Geographe Bay","Multiple Use Zone","24.8","Hayley ","25.06.20","Brooke Gibbons","Lizzy","Damo","Hayley ","Yes","",15,16,"","3",NA,NA,NA,NA,NA,NA,"Right out early",-33.4920833,115.3549
"4","2014-12_Geographe.Bay_stereoBRUVs","4","1","2014-12-10","14:13:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38.4","Hayley ","25.06.20","Brooke Gibbons","Lizzy","Tamy","Hayley ","Yes","",11,12,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3921,115.2280833
"5","2014-12_Geographe.Bay_stereoBRUVs","5","1","2014-12-11","09:43:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","25.7","test video","","","Lizzy","Ronen","test video","","",23,24,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3627833,115.45495
"6","2014-12_Geographe.Bay_stereoBRUVs","6","1","2014-12-10","07:55:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","41.8","Hayley ","25.06.20","Brooke Gibbons","Lizzy","Laura","Hayley ","Yes","",25,26,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4070833,115.1204167
"7","2014-12_Geographe.Bay_stereoBRUVs","7","3","2014-12-13","11:04:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","23.2","Logan","19.08.20","Brooke Gibbons","Lizzy","Damon","Logan","Yes","",11,12,"","5",NA,NA,NA,NA,NA,NA,"",-33.4204833,115.4457
"8","2014-12_Geographe.Bay_stereoBRUVs","9","","2014-12-10","10:04:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","41.8","","","","Lauren","N/A","","","No",25,26,"R cam cut out on seabed","2",NA,NA,NA,NA,NA,NA,"did not film sheet",-33.3643333,115.1361167
"9","2014-12_Geographe.Bay_stereoBRUVs","10","1","2014-12-12","10:48:00",NA,"Geographe Bay","Multiple Use Zone","22.7","Hayley ","26.06.20","Brooke Gibbons","Lauren","Ronen","Hayley ","Yes","",21,22,"","1",NA,NA,NA,NA,NA,NA,"",-33.5281667,115.3313333
"10","2014-12_Geographe.Bay_stereoBRUVs","11","1","2014-12-12","08:59:00",NA,"Geographe Bay","Multiple Use Zone","21.7","Hayley ","29.06.20","Brooke Gibbons","Lauren","Tamy","Hayley ","Yes","",13,14,"","2",NA,NA,NA,NA,NA,NA,"",-33.5712167,115.2958167
