"","X","Sample","UWA.con.number","Time.x","Site.x","Location.x","Status.x","Depth.x","Maxn.analyst","Maxn.complete.yyyymmdd","Maxn.checker","Curtin.Observer","Curtin.length.analyst","Observer.x","Successful.count.x","Successful.length.x","Left.cam","Right.cam","Video.notes","Con.hdd.number","Raw.hdd.number","Habitat.image.saved","Vis.in.metres","Habitat.classification","Length.analyst","Length.complete.date.yyyymmdd","Notes","Latitude","Longitude","Date","Time.y","Location.y","Status.y","Site.y","Depth.y","Observer.y","Successful.count.y","Successful.length.y","Comment"
"1","2014-12_Geographe.Bay_stereoBRUVs","1","1","13:20:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","40","Hayley","23.06.20","Brooke Gibbons","Lizzy","Laura","Hayley","","",13,14,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.36345,115.21415,20141210,"13:20:00","Geographe.Bay","Fished",NA,40,"Lizzy","Yes","Yes",NA
"2","2014-12_Geographe.Bay_stereoBRUVs","2","1","06:29:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","40.5","Test video ","","Brooke Gibbons","Lizzy","Laura","Test video ","","",15,16,"y","1",NA,NA,NA,NA,NA,NA,"",-33.4405333,115.10095,20141210,"06:29:00","Geographe.Bay","Fished",NA,40.5,"Lizzy","Yes","Yes",NA
"3","2014-12_Geographe.Bay_stereoBRUVs","3","1","08:41:00",NA,"Geographe Bay","Multiple Use Zone","24.8","Hayley ","25.06.20","Brooke Gibbons","Lizzy","Damo","Hayley ","","",15,16,"","3",NA,NA,NA,NA,NA,NA,"Right out early",-33.4920833,115.3549,20141213,"08:41:00","Geographe.Bay","Fished",NA,24.8,"Lizzy","Yes","Yes",NA
"4","2014-12_Geographe.Bay_stereoBRUVs","4","1","14:13:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38.4","Hayley ","25.06.20","Brooke Gibbons","Lizzy","Tamy","Hayley ","","",11,12,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3921,115.2280833,20141210,"14:13:00","Geographe.Bay","Fished",NA,38.4,"Lizzy","Yes","Yes",NA
"5","2014-12_Geographe.Bay_stereoBRUVs","5","1","09:43:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","25.7","Test video ","","","Lizzy","Ronen","Test video ","","",23,24,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3627833,115.45495,20141211,"09:43:00","Geographe.Bay","Fished",NA,25.7,"Lizzy","Yes","Yes",NA
"6","2014-12_Geographe.Bay_stereoBRUVs","6","1","07:55:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","41.8","Hayley ","25.06.20","Brooke Gibbons","Lizzy","Laura","Hayley ","","",25,26,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.4070833,115.1204167,20141210,"07:55:00","Geographe.Bay","Fished",NA,41.8,"Lizzy","Yes","Yes",NA
"7","2014-12_Geographe.Bay_stereoBRUVs","7","3","11:04:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","23.2","","","","Lizzy","Damon","","","",11,12,"","5",NA,NA,NA,NA,NA,NA,"",-33.4204833,115.4457,20141213,"11:04:00","Geographe.Bay","Fished",NA,23.2,"Lizzy","Yes","Yes",NA
"8","2014-12_Geographe.Bay_stereoBRUVs","8","","06:15:00",NA,"Geographe Bay","","30.6","","","","N/A","N/A","","N","N",11,12,"Facing up","2",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2014-12_Geographe.Bay_stereoBRUVs","9","","10:04:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","41.8","","","","Lauren","N/A","","","No",25,26,"R cam cut out on seabed","2",NA,NA,NA,NA,NA,NA,"did not film sheet",-33.3643333,115.1361167,20141210,"10:04:00","Geographe.Bay","Fished",NA,41.8,"Lauren","Yes","Yes",NA
"10","2014-12_Geographe.Bay_stereoBRUVs","10","1","10:48:00",NA,"Geographe Bay","Multiple Use Zone","22.7","Hayley ","26.06.20","Brooke Gibbons","Lauren","Ronen","Hayley ","","",21,22,"","1",NA,NA,NA,NA,NA,NA,"",-33.5281667,115.3313333,20141212,"10:48:00","Geographe.Bay","Fished",NA,22.7,"Lauren","Yes","Yes",NA
"11","2014-12_Geographe.Bay_stereoBRUVs","11","1","08:59:00",NA,"Geographe Bay","Multiple Use Zone","21.7","Hayley ","29.06.20","Brooke Gibbons","Lauren","Tamy","Hayley ","","",13,14,"","2",NA,NA,NA,NA,NA,NA,"",-33.5712167,115.2958167,20141212,"08:59:00","Geographe.Bay","Fished",NA,21.7,"Lauren","Yes","Yes",NA
"12","2014-12_Geographe.Bay_stereoBRUVs","12","1","14:00:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38.7","Hayley ","29.06.20","Brooke Gibbons","Lauren","Ronen","Hayley ","","",17,18,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.40395,115.2615667,20141210,"14:00:00","Geographe.Bay","Fished",NA,38.7,"Lauren","Yes","Yes",NA
"13","2014-12_Geographe.Bay_stereoBRUVs","13","1","13:41:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","42.4","Hayley ","29.06.20","Brooke Gibbons","Lauren","Ronen","Hayley ","","",21,22,"Y","1",NA,NA,NA,NA,NA,NA,"BLUE HOUSING, FACING UP A BIT, CHECK",-33.4501833,115.0925167,20141209,"13:41:00","Geographe.Bay","Fished",NA,42.4,"Lauren","Yes","Yes",NA
"14","2014-12_Geographe.Bay_stereoBRUVs","14","2","05:56:00",NA,"Geographe Bay","Multiple Use Zone","13.2","Logan","08.07.20","Brooke Gibbons","Lizzy","Lauren","Logan","","",21,22,"","4",NA,NA,NA,NA,NA,NA,"",-33.5296667,115.4130333,20141213,"05:56:00","Geographe.Bay","Fished",NA,13.2,"Lizzy","Yes","Yes",NA
"15","2014-12_Geographe.Bay_stereoBRUVs","15","2","06:27:00",NA,"Geographe Bay","Habitat Protection Zone","26.2","Logan","08.07.20","Brooke Gibbons","laura","Lauren","Logan","","",23,24,"","4",NA,NA,NA,NA,NA,NA,"",-33.5782333,115.2147833,20141212,"06:27:00","Geographe.Bay","Fished",NA,26.2,"laura","Yes","Yes",NA
"16","2014-12_Geographe.Bay_stereoBRUVs","16","1","12:21:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","20","Hayley","29.06.20","Brooke Gibbons","Lauren","Laura","Hayley","","",25,26,"Y","1",NA,NA,NA,NA,NA,NA,"",-33.3889,115.4986167,20141211,"12:21:00","Geographe.Bay","Fished",NA,20,"Lauren","Yes","Yes",NA
"17","2014-12_Geographe.Bay_stereoBRUVs","17","1","13:27:00",NA,"Geographe Bay","Special Purpose Zone (Mining Exclusion)","38.8","Hayley","30.06.20","Brooke - ask todd about lil unknowns","Laura","Tamy","Hayley","","",21,22,"Y","2",NA,NA,NA,NA,NA,NA,"",-33.3635833,115.23265,20141210,"13:27:00","Geographe.Bay","Fished",NA,38.8,"Laura","Yes","Yes",NA
