"sample","filename","period","periodtime","family","genus","species","maxn","campaignid","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","comment"
"1","1_L13.avi","1","0.00278","Ostraciidae","Anoplocapros","amygdaloides",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.36345","115.21415","20141210","13:20:00","Geographe.Bay",NA,"40","Lizzy","Yes","Yes",NA
"1","1_L13.avi","1","30.98487","Platycephalidae","Platycephalus","speculator",3,"2014-12_Geographe.Bay_stereoBRUVs","-33.36345","115.21415","20141210","13:20:00","Geographe.Bay",NA,"40","Lizzy","Yes","Yes",NA
"1","1_L13.avi","1","50.12846","Sparidae","Chrysophrys","auratus",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.36345","115.21415","20141210","13:20:00","Geographe.Bay",NA,"40","Lizzy","Yes","Yes",NA
"1","1_L13.avi","1","46.88466","Urolophidae","Trygonoptera","personata",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.36345","115.21415","20141210","13:20:00","Geographe.Bay",NA,"40","Lizzy","Yes","Yes",NA
"10","10_L21.avi","1","13.07752","Gerreidae","Parequula","melbournensis",53,"2014-12_Geographe.Bay_stereoBRUVs","-33.5281667","115.3313333","20141212","10:48:00","Geographe.Bay",NA,"22.7","Lauren","Yes","Yes",NA
"10","10_L21.avi","1","22.19831","Labridae","Coris","auricularis",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.5281667","115.3313333","20141212","10:48:00","Geographe.Bay",NA,"22.7","Lauren","Yes","Yes",NA
"10","10_L21.avi","1","8.07029","Labridae","Eupetrichthys","angustipes",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.5281667","115.3313333","20141212","10:48:00","Geographe.Bay",NA,"22.7","Lauren","Yes","Yes",NA
"10","10_L21.avi","1","15.00167","Monacanthidae","Acanthaluteres","vittiger",2,"2014-12_Geographe.Bay_stereoBRUVs","-33.5281667","115.3313333","20141212","10:48:00","Geographe.Bay",NA,"22.7","Lauren","Yes","Yes",NA
"10","10_L21.avi","1","33.90668","Mullidae","Upeneichthys","vlamingii",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.5281667","115.3313333","20141212","10:48:00","Geographe.Bay",NA,"22.7","Lauren","Yes","Yes",NA
"10","10_L21.avi","1","43.05472","Neosebastidae","Neosebastes","pandus",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.5281667","115.3313333","20141212","10:48:00","Geographe.Bay",NA,"22.7","Lauren","Yes","Yes",NA
"10","10_L21.avi","1","5.53609","Ostraciidae","Anoplocapros","amygdaloides",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.5281667","115.3313333","20141212","10:48:00","Geographe.Bay",NA,"22.7","Lauren","Yes","Yes",NA
"10","10_L21.avi","1","42.23001","Trygonorrhinidae","Trygonorrhina","dumerilii",4,"2014-12_Geographe.Bay_stereoBRUVs","-33.5281667","115.3313333","20141212","10:48:00","Geographe.Bay",NA,"22.7","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","37.63096","Carangidae","Pseudocaranx","spp",55,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","1.15671","Gerreidae","Parequula","melbournensis",5,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","41.88744","Monacanthidae","Scobinichthys","granulatus",3,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","16.73507","Mullidae","Upeneichthys","vlamingii",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","45.60950","Myliobatidae","Myliobatis","tenuicaudatus",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","18.87221","Neosebastidae","Neosebastes","pandus",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","59.94439","Ostraciidae","Anoplocapros","amygdaloides",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","44.60794","Paralichthyidae","Pseudorhombus","spp",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","14.87877","Platycephalidae","Platycephalus","spp",3,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","33.56023","Sillaginidae","Sillago","spp",16,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","52.87120","Triglidae","Chelidonichthys","kumu",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","53.21989","Trygonorrhinidae","Trygonorrhina","dumerilii",2,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"10001","10001_L14.avi","1","55.73407","Urolophidae","Trygonoptera","ovalis",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.4217167","115.3722167","20141214","06:17:00","Geographe.Bay",NA,"15.9","Lauren","Yes","Yes",NA
"102","102_L25.avi","1","20.22133","Carangidae","Pseudocaranx","spp",8,"2014-12_Geographe.Bay_stereoBRUVs","-33.5185","115.1196","20141209","12:39:00","Geographe.Bay",NA,"34.4","Lizzy","Yes","Yes",NA
"102","102_L25.avi","1","14.28373","Carangidae","Trachurus","novaezelandiae",108,"2014-12_Geographe.Bay_stereoBRUVs","-33.5185","115.1196","20141209","12:39:00","Geographe.Bay",NA,"34.4","Lizzy","Yes","Yes",NA
"102","102_L25.avi","1","50.60282","Dasyatidae","Dasyatis","brevicaudata",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.5185","115.1196","20141209","12:39:00","Geographe.Bay",NA,"34.4","Lizzy","Yes","Yes",NA
"102","102_L25.avi","1","24.84874","Gerreidae","Parequula","melbournensis",3,"2014-12_Geographe.Bay_stereoBRUVs","-33.5185","115.1196","20141209","12:39:00","Geographe.Bay",NA,"34.4","Lizzy","Yes","Yes",NA
"102","102_L25.avi","1","3.23268","Monacanthidae","Acanthaluteres","vittiger",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.5185","115.1196","20141209","12:39:00","Geographe.Bay",NA,"34.4","Lizzy","Yes","Yes",NA
"102","102_L25.avi","1","4.04905","Mullidae","Parupeneus","chrysopleuron",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.5185","115.1196","20141209","12:39:00","Geographe.Bay",NA,"34.4","Lizzy","Yes","Yes",NA
"102","102_L25.avi","1","28.47181","Myliobatidae","Myliobatis","tenuicaudatus",1,"2014-12_Geographe.Bay_stereoBRUVs","-33.5185","115.1196","20141209","12:39:00","Geographe.Bay",NA,"34.4","Lizzy","Yes","Yes",NA
