"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment","id"
"1","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.36345,115.21415,20141210,13:20:00,"Geographe.Bay","Fished","NA",40,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.1"
"10","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5281667,115.3313333,20141212,10:48:00,"Geographe.Bay","Fished","NA",22.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10"
"100","Sparidae Chrysophrys auratus",4,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4324833,115.21415,20141210,11:14:00,"Geographe.Bay","Fished","NA",36.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.100"
"10000","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4135833,115.3645833,20141214,06:27:00,"Geographe.Bay","Fished","NA",16.4,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10000"
"10001","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4217167,115.3722167,20141214,06:17:00,"Geographe.Bay","Fished","NA",15.9,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10001"
"10002","Sparidae Chrysophrys auratus",6,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4234167,115.3889333,20141214,06:13:00,"Geographe.Bay","Fished","NA",15.4,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10002"
"10003","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4213,115.35935,20141214,06:23:00,"Geographe.Bay","Fished","NA",16.5,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10003"
"10004","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4039167,115.3976,20141214,07:03:00,"Geographe.Bay","Fished","NA",15.3,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10004"
"10005","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4777667,115.3694,20141213,10:21:00,"Geographe.Bay","Fished","NA",24.6,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10005"
"101","Sparidae Chrysophrys auratus",4,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.3885833,115.37675,20141214,06:47:00,"Geographe.Bay","Fished","NA",16.7,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.101"
"102","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5185,115.1196,20141209,12:39:00,"Geographe.Bay","Fished","NA",34.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.102"
"103","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4581167,115.4547167,20141211,13:12:00,"Geographe.Bay","Fished","NA",18.4,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.103"
"1038","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5333333,115.4200167,20141216,15:33:00,"Geographe.Bay","Fished","NA",13.9,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.1038"
"104","Sparidae Chrysophrys auratus",1,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.4597333,115.2450667,20141209,10:04:00,"Geographe.Bay","Fished","NA",33.3,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.104"
"106","Sparidae Chrysophrys auratus",0,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.57825,115.3451333,20141212,11:27:00,"Geographe.Bay","Fished","NA",13.5,"laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.106"
"107","Sparidae Chrysophrys auratus",4,"Sparidae","Chrysophrys","auratus","2014-12_Geographe.Bay_stereoBRUVs",-33.5833333,115.1881167,20141215,08:56:00,"Geographe.Bay","Fished","NA",20.9,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.107"
