"campaignid","sample","family","genus","species","length","number","range"
"2014-12_Geographe.Bay_stereoBRUVs","714","Mullidae","Upeneichthys","vlamingii",165.50138,1,1653.34933
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",333.06432,1,2307.07078
"2014-12_Geographe.Bay_stereoBRUVs","714","Carangidae","Pseudocaranx","spp",254.77394,1,2343.20593
"2014-12_Geographe.Bay_stereoBRUVs","714","Carangidae","Pseudocaranx","spp",241.69861,1,1971.13929
"2014-12_Geographe.Bay_stereoBRUVs","714","Carangidae","Pseudocaranx","spp",230.81055,1,1911.32586
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Notolabrus","parilus",263.65403,1,2421.51378
"2014-12_Geographe.Bay_stereoBRUVs","714","Gerreidae","Parequula","melbournensis",94.43623,1,1679.22085
"2014-12_Geographe.Bay_stereoBRUVs","714","Gerreidae","Parequula","melbournensis",87.88415,1,1588.79472
"2014-12_Geographe.Bay_stereoBRUVs","714","Gerreidae","Parequula","melbournensis",100.83779,1,2227.49103
"2014-12_Geographe.Bay_stereoBRUVs","714","Sparidae","Chrysophrys","auratus",408.31635,1,1852.6193
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",196.45929,1,1224.47385
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",215.70304,1,1315.86151
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",143.34538,1,1292.54412
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",227.05968,1,3111.31737
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",249.51501,1,1586.09108
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",278.46367,1,1792.28187
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",257.83732,1,2038.51889
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",263.07733,1,2852.22523
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",122.84422,1,1220.81149
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",298.08403,1,2088.46948
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",140.00653,1,1159.83255
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",277.43259,1,1488.66279
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",120.32009,1,1116.04657
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",126.29385,1,1654.91901
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",226.72053,1,1788.25054
"2014-12_Geographe.Bay_stereoBRUVs","714","Rhinobatidae","Trygonorrhina","dumerilii",765.72984,1,3738.47305
"2014-12_Geographe.Bay_stereoBRUVs","714","Myliobatidae","Myliobatis","tenuicaudatus",625.65638,1,1390.34005
"2014-12_Geographe.Bay_stereoBRUVs","714","Myliobatidae","Myliobatis","tenuicaudatus",536.6993,1,3304.14513
"2014-12_Geographe.Bay_stereoBRUVs","714","Myliobatidae","Myliobatis","tenuicaudatus",541.7146,1,3310.87864
"2014-12_Geographe.Bay_stereoBRUVs","714","Myliobatidae","Myliobatis","tenuicaudatus",524.81025,1,3206.77641
"2014-12_Geographe.Bay_stereoBRUVs","272","Gerreidae","Parequula","melbournensis",95.92475,1,1168.27007
"2014-12_Geographe.Bay_stereoBRUVs","272","Gerreidae","Parequula","melbournensis",87.25297,1,3676.41714
"2014-12_Geographe.Bay_stereoBRUVs","272","Monacanthidae","Scobinichthys","granulatus",197.07515,1,1944.2977
"2014-12_Geographe.Bay_stereoBRUVs","272","Labridae","Ophthalmolepis","lineolatus",230.99042,1,2275.05157
"2014-12_Geographe.Bay_stereoBRUVs","272","Labridae","Austrolabrus","maculatus",81.22128,1,1997.2317
"2014-12_Geographe.Bay_stereoBRUVs","272","Labridae","Notolabrus","parilus",286.83198,1,2456.10607
"2014-12_Geographe.Bay_stereoBRUVs","272","Labridae","Notolabrus","parilus",174.75566,1,2345.51316
"2014-12_Geographe.Bay_stereoBRUVs","272","Labridae","Ophthalmolepis","lineolatus",218.7411,1,2553.42129
"2014-12_Geographe.Bay_stereoBRUVs","272","Labridae","Ophthalmolepis","lineolatus",228.3957,1,1918.03495
"2014-12_Geographe.Bay_stereoBRUVs","272","Labridae","Ophthalmolepis","lineolatus",232.53195,1,1626.198
"2014-12_Geographe.Bay_stereoBRUVs","272","Carangidae","Pseudocaranx","spp",143.42352,1,2033.75043
"2014-12_Geographe.Bay_stereoBRUVs","272","Carangidae","Pseudocaranx","spp",157.2523,1,2207.947
"2014-12_Geographe.Bay_stereoBRUVs","272","Carangidae","Pseudocaranx","spp",72.68368,1,1470.80097
"2014-12_Geographe.Bay_stereoBRUVs","272","Carangidae","Pseudocaranx","spp",57.05345,1,1419.0444
"2014-12_Geographe.Bay_stereoBRUVs","272","Carangidae","Pseudocaranx","spp",66.68322,1,1345.20986
"2014-12_Geographe.Bay_stereoBRUVs","272","Carangidae","Pseudocaranx","spp",147.93137,1,2153.12257
"2014-12_Geographe.Bay_stereoBRUVs","272","Carangidae","Pseudocaranx","spp",81.00945,1,764.85752
"2014-12_Geographe.Bay_stereoBRUVs","272","Carangidae","Pseudocaranx","spp",74.32142,1,944.87205
