"sample","scientific","maxn","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment","id"
"1","total.abundance",6,"2014-12_Geographe.Bay_stereoBRUVs",-33.36345,115.21415,20141210,13:20:00,"Geographe.Bay","Fished","NA",40,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.1"
"10","total.abundance",41,"2014-12_Geographe.Bay_stereoBRUVs",-33.5281667,115.3313333,20141212,10:48:00,"Geographe.Bay","Fished","NA",22.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10"
"100","total.abundance",76,"2014-12_Geographe.Bay_stereoBRUVs",-33.4324833,115.21415,20141210,11:14:00,"Geographe.Bay","Fished","NA",36.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.100"
"10000","total.abundance",35,"2014-12_Geographe.Bay_stereoBRUVs",-33.4135833,115.3645833,20141214,06:27:00,"Geographe.Bay","Fished","NA",16.4,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10000"
"10001","total.abundance",71,"2014-12_Geographe.Bay_stereoBRUVs",-33.4217167,115.3722167,20141214,06:17:00,"Geographe.Bay","Fished","NA",15.9,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10001"
"10002","total.abundance",27,"2014-12_Geographe.Bay_stereoBRUVs",-33.4234167,115.3889333,20141214,06:13:00,"Geographe.Bay","Fished","NA",15.4,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10002"
"10003","total.abundance",56,"2014-12_Geographe.Bay_stereoBRUVs",-33.4213,115.35935,20141214,06:23:00,"Geographe.Bay","Fished","NA",16.5,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10003"
"10004","total.abundance",15,"2014-12_Geographe.Bay_stereoBRUVs",-33.4039167,115.3976,20141214,07:03:00,"Geographe.Bay","Fished","NA",15.3,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10004"
"10005","total.abundance",28,"2014-12_Geographe.Bay_stereoBRUVs",-33.4777667,115.3694,20141213,10:21:00,"Geographe.Bay","Fished","NA",24.6,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.10005"
"101","total.abundance",53,"2014-12_Geographe.Bay_stereoBRUVs",-33.3885833,115.37675,20141214,06:47:00,"Geographe.Bay","Fished","NA",16.7,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.101"
"102","total.abundance",133,"2014-12_Geographe.Bay_stereoBRUVs",-33.5185,115.1196,20141209,12:39:00,"Geographe.Bay","Fished","NA",34.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.102"
"103","total.abundance",99,"2014-12_Geographe.Bay_stereoBRUVs",-33.4581167,115.4547167,20141211,13:12:00,"Geographe.Bay","Fished","NA",18.4,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.103"
"1038","total.abundance",24,"2014-12_Geographe.Bay_stereoBRUVs",-33.5333333,115.4200167,20141216,15:33:00,"Geographe.Bay","Fished","NA",13.9,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.1038"
"104","total.abundance",52,"2014-12_Geographe.Bay_stereoBRUVs",-33.4597333,115.2450667,20141209,10:04:00,"Geographe.Bay","Fished","NA",33.3,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.104"
"106","total.abundance",19,"2014-12_Geographe.Bay_stereoBRUVs",-33.57825,115.3451333,20141212,11:27:00,"Geographe.Bay","Fished","NA",13.5,"laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.106"
"107","total.abundance",45,"2014-12_Geographe.Bay_stereoBRUVs",-33.5833333,115.1881167,20141215,08:56:00,"Geographe.Bay","Fished","NA",20.9,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.107"
"108","total.abundance",29,"2014-12_Geographe.Bay_stereoBRUVs",-33.4690833,115.1676667,20141209,13:09:00,"Geographe.Bay","Fished","NA",35,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.108"
"11","total.abundance",23,"2014-12_Geographe.Bay_stereoBRUVs",-33.5712167,115.2958167,20141212,08:59:00,"Geographe.Bay","Fished","NA",21.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.11"
"110","total.abundance",23,"2014-12_Geographe.Bay_stereoBRUVs",-33.4022667,115.3556833,20141214,06:37:00,"Geographe.Bay","Fished","NA",17,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.110"
"1108","total.abundance",17,"2014-12_Geographe.Bay_stereoBRUVs",-33.5580167,115.41435,20141216,15:20:00,"Geographe.Bay","Fished","NA",11.9,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.1108"
"111","total.abundance",30,"2014-12_Geographe.Bay_stereoBRUVs",-33.5369,115.3219167,20141212,10:55:00,"Geographe.Bay","Fished","NA",21.9,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.111"
"112","total.abundance",22,"2014-12_Geographe.Bay_stereoBRUVs",-33.4052,115.5224,20141211,12:35:00,"Geographe.Bay","Fished","NA",14.8,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.112"
"113","total.abundance",142,"2014-12_Geographe.Bay_stereoBRUVs",-33.3658333,115.27785,20141210,13:45:00,"Geographe.Bay","Fished","NA",36.6,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.113"
"114","total.abundance",19,"2014-12_Geographe.Bay_stereoBRUVs",-33.3984333,115.1639167,20141210,10:20:00,"Geographe.Bay","Fished","NA",39.7,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.114"
"115","total.abundance",37,"2014-12_Geographe.Bay_stereoBRUVs",-33.4446333,115.4064667,20141213,10:46:00,"Geographe.Bay","Fished","NA",25.2,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.115"
"116","total.abundance",25,"2014-12_Geographe.Bay_stereoBRUVs",-33.4981667,115.2863667,20141209,06:20:00,"Geographe.Bay","Fished","NA",29.7,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.116"
"119","total.abundance",24,"2014-12_Geographe.Bay_stereoBRUVs",-33.4388333,115.5567333,20141214,11:25:00,"Geographe.Bay","Fished","NA",5.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.119"
"11R1","total.abundance",153,"2014-12_Geographe.Bay_stereoBRUVs",-33.35885,115.3694,20141211,09:09:00,"Geographe.Bay","Fished","NA",30.4,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.11R1"
"11R2","total.abundance",55,"2014-12_Geographe.Bay_stereoBRUVs",-33.3967333,115.5076167,20141211,12:26:00,"Geographe.Bay","Fished","NA",18.6,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.11R2"
"11R3","total.abundance",9,"2014-12_Geographe.Bay_stereoBRUVs",-33.41215,115.5204667,20141211,12:40:00,"Geographe.Bay","Fished","NA",14.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.11R3"
"11R4","total.abundance",72,"2014-12_Geographe.Bay_stereoBRUVs",-33.4197,115.51755,20141211,12:48:00,"Geographe.Bay","Fished","NA",14.5,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.11R4"
"12","total.abundance",13,"2014-12_Geographe.Bay_stereoBRUVs",-33.40395,115.2615667,20141210,14:00:00,"Geographe.Bay","Fished","NA",38.7,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12"
"122","total.abundance",29,"2014-12_Geographe.Bay_stereoBRUVs",-33.5375,115.4020833,20141213,05:48:00,"Geographe.Bay","Fished","NA",13.3,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.122"
"12RC1","total.abundance",68,"2014-12_Geographe.Bay_stereoBRUVs",-33.5932167,115.2132833,20141212,06:09:00,"Geographe.Bay","Fished","NA",26.5,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC1"
"12RC2","total.abundance",57,"2014-12_Geographe.Bay_stereoBRUVs",-33.5916,115.23785,20141212,08:23:00,"Geographe.Bay","Fished","NA",17.6,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC2"
"12RC3","total.abundance",73,"2014-12_Geographe.Bay_stereoBRUVs",-33.5914667,115.24145,20141212,08:32:00,"Geographe.Bay","Fished","NA",17.9,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC3"
"12RC5","total.abundance",122,"2014-12_Geographe.Bay_stereoBRUVs",-33.5621333,115.3443,20141212,11:16:00,"Geographe.Bay","Fished","NA",14.2,"Lizzy","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC5"
"12RC6","total.abundance",109,"2014-12_Geographe.Bay_stereoBRUVs",-33.5711,115.3481333,20141212,11:22:00,"Geographe.Bay","Fished","NA",14.7,"laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC6"
"12RC7","total.abundance",104,"2014-12_Geographe.Bay_stereoBRUVs",-33.5118,115.41785,20141212,13:38:00,"Geographe.Bay","Fished","NA",15.2,"laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC7"
"12RC8","total.abundance",47,"2014-12_Geographe.Bay_stereoBRUVs",-33.5148667,115.41815,20141212,13:41:00,"Geographe.Bay","Fished","NA",14.1,"laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC8"
"12RC9","total.abundance",139,"2014-12_Geographe.Bay_stereoBRUVs",-33.5162167,115.4064167,20141212,13:48:00,"Geographe.Bay","Fished","NA",14.5,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.12RC9"
"13","total.abundance",14,"2014-12_Geographe.Bay_stereoBRUVs",-33.4501833,115.0925167,20141209,13:41:00,"Geographe.Bay","Fished","NA",42.4,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13"
"135","total.abundance",27,"2014-12_Geographe.Bay_stereoBRUVs",-33.50185,115.4207333,20141216,12:54:00,"Geographe.Bay","Fished","NA",15.8,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.135"
"138","total.abundance",115,"2014-12_Geographe.Bay_stereoBRUVs",-33.5808333,115.1139333,20141215,06:50:00,"Geographe.Bay","Fished","NA",15,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.138"
"139","total.abundance",57,"2014-12_Geographe.Bay_stereoBRUVs",-33.60325,115.2736667,20141217,08:29:00,"Geographe.Bay","Fished","NA",13.4,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.139"
"13RC1","total.abundance",52,"2014-12_Geographe.Bay_stereoBRUVs",-33.5059833,115.43075,20141213,06:11:00,"Geographe.Bay","Fished","NA",13.8,"Lauren","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC1"
"13RC11","total.abundance",36,"2014-12_Geographe.Bay_stereoBRUVs",-33.3740333,115.36925,20141213,13:23:00,"Geographe.Bay","Fished","NA",31,"Laura","Yes","Yes","NA","2014-12_Geographe.Bay_stereoBRUVs.13RC11"
