"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","complexity","sqrt.rug","sqrtLC","sqrtHC","sqrtMacro","SCORE1","SCORE2","ZONE"
"Herbivore.abundance.complexity","complexity",517.9116258368,532.440774224447,0.59876,NA,6.22,1,0,0,0.527,0.774,1,0,0,0,0,0,0,0
"Herbivore.abundance.complexity+SCORE2","complexity+SCORE2",519.872079158477,536.421926010571,0.60314,NA,7.37,1,1.96,3.981,0.198,0.106,1,0,0,0,0,0,1,0
"Herbivore.abundance.complexity+ZONE","complexity+ZONE",520.519872045365,536.656942431819,0.59882,NA,7.22,1,2.608,4.216,0.143,0.094,1,0,0,0,0,0,0,1
"Herbivore.abundance.complexity.by.ZONE+ZONE","complexity.by.ZONE+ZONE",520.721774439103,539.274744025012,0.58223,NA,8.79,1,2.81,6.834,0.129,0.025,1,0,0,0,0,0,0,1
"Herbivore.abundance.SCORE1","SCORE1",528.848087548947,545.569517065384,0.57421,NA,7.33,1,10.936,13.129,0.002,0.001,0,0,0,0,0,1,0,0
"Herbivore.abundance.SCORE1+SCORE2","SCORE1+SCORE2",530.378013167008,549.716079102692,0.59662,NA,9.05,1,12.466,17.275,0.001,0,0,0,0,0,0,1,1,0
"Herbivore.abundance.SCORE1+ZONE","SCORE1+ZONE",533.431597501637,553.316536921208,0.5835,NA,8.28,0,15.52,20.876,0,0,0,0,0,0,0,1,0,1
"Herbivore.abundance.SCORE1.by.ZONE+ZONE","SCORE1.by.ZONE+ZONE",534.346922066957,557.506533716478,0.55104,NA,10.38,0,16.435,25.066,0,0,0,0,0,0,0,1,0,1
"Herbivore.abundance.sqrt.rug.by.ZONE+ZONE","sqrt.rug.by.ZONE+ZONE",542.728657808814,564.004439613598,0.5332,NA,10.03,0,24.817,31.564,0,0,0,1,0,0,0,0,0,1
"Herbivore.abundance.sqrt.rug","sqrt.rug",551.452930646041,569.213860521872,0.51306,NA,7.06,0,33.541,36.773,0,0,0,1,0,0,0,0,0,0
"Herbivore.abundance.SCORE2+sqrt.rug","SCORE2+sqrt.rug",554.322033576827,573.91694877767,0.51721,NA,8.51,0,36.41,41.476,0,0,0,1,0,0,0,0,1,0
"Herbivore.abundance.sqrt.rug+ZONE","sqrt.rug+ZONE",554.616995884523,574.732681927336,0.51875,NA,8.14,0,36.705,42.292,0,0,0,1,0,0,0,0,0,1
"Herbivore.abundance.sqrtMacro","sqrtMacro",574.161597218943,596.332455056898,0.50554,NA,9.49,0,56.25,63.892,0,0,0,0,0,0,1,0,0,0
"Herbivore.abundance.sqrtMacro+ZONE","sqrtMacro+ZONE",574.50553867875,597.068782946839,0.50893,NA,10.15,0,56.594,64.628,0,0,0,0,0,0,1,0,0,1
"Herbivore.abundance.sqrtMacro.by.ZONE+ZONE","sqrtMacro.by.ZONE+ZONE",575.808762012436,599.431588362911,0.50129,NA,11.28,0,57.897,66.991,0,0,0,0,0,0,1,0,0,1
"Herbivore.abundance.SCORE2+sqrtMacro","SCORE2+sqrtMacro",577.292410005982,600.457011086574,0.50531,NA,10.44,0,59.381,68.016,0,0,0,0,0,0,1,0,1,0
"Herbivore.abundance.sqrtHC+sqrtLC","sqrtHC+sqrtLC",579.364557410663,602.291742934125,0.53554,NA,10.13,0,61.453,69.851,0,0,0,0,1,1,0,0,0,0
"Herbivore.abundance.sqrtHC","sqrtHC",583.28386872986,605.271360539149,0.49958,NA,9.31,0,65.372,72.831,0,0,0,0,0,1,0,0,0,0
"Herbivore.abundance.sqrtHC+ZONE","sqrtHC+ZONE",583.735410725617,606.181832762144,0.50093,NA,10.02,0,65.824,73.741,0,0,0,0,0,1,0,0,0,1
"Herbivore.abundance.sqrtHC.by.ZONE+ZONE","sqrtHC.by.ZONE+ZONE",586.738544407803,610.273417698926,0.506,NA,11.13,0,68.827,77.833,0,0,0,0,0,1,0,0,0,1
"Herbivore.abundance.sqrtLC","sqrtLC",593.570132331759,614.225799775318,0.36298,NA,8.05,0,75.659,81.785,0,0,0,0,1,0,0,0,0,0
"Herbivore.abundance.null","null",593.570898547667,613.077556942692,0.33072,NA,7.38,0,75.659,80.637,0,0,0,0,0,0,0,0,0,0
"Herbivore.abundance.ZONE","ZONE",593.807340455345,613.892739851405,0.33448,NA,8.11,0,75.896,81.452,0,0,0,0,0,0,0,0,0,1
"Herbivore.abundance.sqrtLC+ZONE","sqrtLC+ZONE",594.962534934634,616.623458779072,0.37121,NA,9.08,0,77.051,84.183,0,0,0,0,1,0,0,0,0,1
"Herbivore.abundance.sqrtLC.by.ZONE+ZONE","sqrtLC.by.ZONE+ZONE",595.769720423583,618.346576071292,0.39098,NA,10.03,0,77.858,85.906,0,0,0,0,1,0,0,0,0,1
"Herbivore.abundance.SCORE2","SCORE2",596.190991663615,617.003952700377,0.33496,NA,8.41,0,78.279,84.563,0,0,0,0,0,0,0,0,1,0
"Herbivore.abundance.SCORE2+ZONE","SCORE2+ZONE",596.415615769315,617.746758876513,0.33878,NA,9.13,0,78.504,85.306,0,0,0,0,0,0,0,0,1,1
"Herbivore.abundance.SCORE2.by.ZONE+ZONE","SCORE2.by.ZONE+ZONE",598.735054771832,622.052725441447,0.37446,NA,10.78,0,80.823,89.612,0,0,0,0,0,0,0,0,1,1
"Invertivore.abundance.complexity","complexity",609.447134986766,630.515974620396,0.5284,NA,8.58,0,0,0,0.306,0.375,1,0,0,0,0,0,0,0
"Invertivore.abundance.complexity+ZONE","complexity+ZONE",609.508949743766,630.835362974297,0.52926,NA,9.04,0,0.062,0.319,0.296,0.32,1,0,0,0,0,0,0,1
"Invertivore.abundance.complexity+SCORE2","complexity+SCORE2",609.552566752907,631.580758653513,0.5338,NA,9.35,0,0.105,1.065,0.29,0.22,1,0,0,0,0,0,1,0
"Invertivore.abundance.complexity.by.ZONE+ZONE","complexity.by.ZONE+ZONE",611.555902764432,633.518770141303,0.54705,NA,9.73,0,2.109,3.003,0.106,0.084,1,0,0,0,0,0,0,1
"Invertivore.abundance.SCORE1+ZONE","SCORE1+ZONE",620.905306443731,642.576239871468,0.48578,NA,9.56,0,11.458,12.06,0.001,0.001,0,0,0,0,0,1,0,1
"Invertivore.abundance.SCORE1","SCORE1",621.359473773711,643.107180913234,0.48421,NA,9.37,0,11.912,12.591,0.001,0.001,0,0,0,0,0,1,0,0
"Invertivore.abundance.SCORE1+SCORE2","SCORE1+SCORE2",625.36744153278,649.397473023304,0.50781,NA,11.19,0,15.92,18.881,0,0,0,0,0,0,0,1,1,0
"Invertivore.abundance.SCORE1.by.ZONE+ZONE","SCORE1.by.ZONE+ZONE",625.399363546407,649.020668105359,0.5041,NA,11.24,0,15.952,18.505,0,0,0,0,0,0,0,1,0,1
"Invertivore.abundance.sqrt.rug+ZONE","sqrt.rug+ZONE",629.391465309217,651.05940279837,0.45693,NA,9.61,0,19.944,20.543,0,0,0,1,0,0,0,0,0,1
"Invertivore.abundance.sqrt.rug","sqrt.rug",629.432279814333,650.964327573813,0.454,NA,9.27,0,19.985,20.448,0,0,0,1,0,0,0,0,0,0
"Invertivore.abundance.SCORE2+sqrt.rug","SCORE2+sqrt.rug",632.161817029012,654.78012743683,0.45712,NA,10.22,0,22.715,24.264,0,0,0,1,0,0,0,0,1,0
"Invertivore.abundance.sqrt.rug.by.ZONE+ZONE","sqrt.rug.by.ZONE+ZONE",634.600331139218,658.237739564303,0.45606,NA,11.35,0,25.153,27.722,0,0,0,1,0,0,0,0,0,1
"Invertivore.abundance.sqrtHC+sqrtLC","sqrtHC+sqrtLC",650.704454816131,674.222225370152,0.46448,NA,10.89,0,41.257,43.706,0,0,0,0,1,1,0,0,0,0
"Invertivore.abundance.sqrtMacro+ZONE","sqrtMacro+ZONE",653.269139709636,675.963340371973,0.45228,NA,10.39,0,43.822,45.447,0,0,0,0,0,0,1,0,0,1
"Invertivore.abundance.sqrtMacro","sqrtMacro",653.305524195603,675.872356956721,0.44979,NA,10.02,0,43.858,45.356,0,0,0,0,0,0,1,0,0,0
"Invertivore.abundance.sqrtHC","sqrtHC",653.314177585691,675.735519458925,0.44496,NA,9.79,0,43.867,45.22,0,0,0,0,0,1,0,0,0,0
"Invertivore.abundance.sqrtHC+ZONE","sqrtHC+ZONE",653.480838077307,676.187316016587,0.45151,NA,10.36,0,44.034,45.671,0,0,0,0,0,1,0,0,0,1
"Invertivore.abundance.SCORE2+sqrtMacro","SCORE2+sqrtMacro",656.305750934059,679.852742846679,0.45317,NA,10.99,0,46.859,49.337,0,0,0,0,0,0,1,0,1,0
"Invertivore.abundance.sqrtMacro.by.ZONE+ZONE","sqrtMacro.by.ZONE+ZONE",656.971618765006,680.620390358362,0.44519,NA,11.37,0,47.524,50.104,0,0,0,0,0,0,1,0,0,1
